dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,RandomForest,Original,1209.434703113695,1660085.2711775121,1288.442963882186,0.277196384980661,15062.371262073517,0.008572101593017578
Validation,RandomForest,Original,1576.522267416795,2765418.9105375586,1662.9548732715384,-0.21546189809140248,15062.371262073517,0.008572101593017578
