dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,LGBM,Original,1321.9888918729646,1936979.2538322865,1391.7540205913854,0.15663632995528753,850.3837411403656,0.0020914077758789062
Validation,LGBM,Original,1483.8362343540862,2440200.968521995,1562.1142623130982,-0.07252152273294432,850.3837411403656,0.0020914077758789062
