neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-4805208.342244439,-1941.6035133806047,-1.1221606422490122,-1.1198300595975943,0.8704628944396973,0.0026657581329345703,Validation,LGBM,Original
-4538993.646779329,-1903.4158015420762,-1.004590225137715,-1.0044890572045588,1.0014514923095703,0.0026230812072753906,Validation,LGBM,Original
-4427231.330358278,-1913.8629348801837,-0.9341545147318244,-0.9289113007961607,0.6945915222167969,0.0025746822357177734,Validation,LGBM,Original
-4615899.278212325,-1896.862803505542,-0.9921018852066483,-0.9916827069459635,0.6574208736419678,0.002567768096923828,Validation,LGBM,Original
-4909370.99286675,-2009.0004543861423,-1.118756632370959,-1.116645104820452,0.6168258190155029,0.0026259422302246094,Validation,LGBM,Original
-5136878.748641244,-2014.9007444047488,-1.2169430532308678,-1.2136065541081202,1.2950737476348877,0.0025217533111572266,Validation,LGBM,Original
-4706221.047336146,-1947.741115946727,-0.997568330451786,-0.9975140709511929,1.325284719467163,0.002574920654296875,Validation,LGBM,Original
-4286831.635459385,-1865.3742452516904,-0.8952397881489926,-0.8950511142784823,0.6932621002197266,0.002766132354736328,Validation,LGBM,Original
-5176698.735422898,-1972.0016719975736,-1.287564536095462,-1.2861581948863434,0.6917057037353516,0.0034308433532714844,Validation,LGBM,Original
-4560338.63306492,-1895.2939693159178,-1.0151972256374973,-1.0090523016691346,0.9057025909423828,0.002559185028076172,Validation,LGBM,Original
-1103993.7696210993,-748.5531168248862,0.5190716364339194,0.5190716364339193,0.8704628944396973,0.0026657581329345703,Train,LGBM,Original
-1116893.0664437835,-757.4318989613595,0.5134523676637561,0.5134523676637561,1.0014514923095703,0.0026230812072753906,Train,LGBM,Original
-1128489.411974754,-758.4930106506008,0.5078555828682642,0.507855582868264,0.6945915222167969,0.0025746822357177734,Train,LGBM,Original
-1120070.2170989634,-754.3138113547192,0.5108202865740745,0.5108202865740745,0.6574208736419678,0.002567768096923828,Train,LGBM,Original
-1080513.1310017516,-730.3362717609798,0.5280964570726683,0.5280964570726683,0.6168258190155029,0.0026259422302246094,Train,LGBM,Original
-1099404.8654262917,-745.6990553397264,0.5198456768172564,0.5198456768172564,1.2950737476348877,0.0025217533111572266,Train,LGBM,Original
-1114248.6401871769,-747.6961846656556,0.5124280002384648,0.5124280002384648,1.325284719467163,0.002574920654296875,Train,LGBM,Original
-1152357.1626395234,-769.8694741140187,0.4980980134148415,0.4980980134148415,0.6932621002197266,0.002766132354736328,Train,LGBM,Original
-1096669.659047383,-743.4731334137069,0.5222976304659475,0.5222976304659475,0.6917057037353516,0.0034308433532714844,Train,LGBM,Original
-1156204.45312672,-774.434946774855,0.49636465058746204,0.49636465058746215,0.9057025909423828,0.002559185028076172,Train,LGBM,Original
