dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,LinearRegression,Original,654.8117364746946,1003823.7973658377,1001.910074490639,0.5629336142089756,0.7749884128570557,0.006085634231567383
Validation,LinearRegression,Original,154429747949619.0,7.350394841745477e+28,271116116115318.34,-3.2306587736223087e+22,0.7749884128570557,0.006085634231567383
