dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,XGBoost,Original,1316.8942125463568,1908203.3664501798,1381.377343975997,0.16916539444751266,530.3431634902954,0.003603219985961914
Validation,XGBoost,Original,1499.9741516113281,2479650.199104867,1574.690508990534,-0.0898603195784402,530.3431634902954,0.003603219985961914
