dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,GradientBoosting,Original,1056.7184945139286,1376198.8980641193,1173.1150404219184,0.40080093729112365,1360.4972672462463,0.0018336772918701172
Validation,GradientBoosting,Original,1635.2576511900795,3139324.2612768244,1771.813833696087,-0.3798014509831331,1360.4972672462463,0.0018336772918701172
