neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-2539857.361206325,-1536.6252661961437,-0.12169648951390033,-0.09136634492781237,3.6523430347442627,0.0063817501068115234,Validation,AdaBoost,Original
-2423479.8538518045,-1506.6056658571238,-0.07029980738056096,-0.049550245298066065,2.3006205558776855,0.0050351619720458984,Validation,AdaBoost,Original
-2499244.1585731786,-1538.3517718664561,-0.09186171040451652,-0.06940218632599837,3.1259963512420654,0.0057070255279541016,Validation,AdaBoost,Original
-2553600.056685139,-1549.270598432144,-0.10206726368526997,-0.09698176693593785,3.021610975265503,0.005548000335693359,Validation,AdaBoost,Original
-2583408.391020981,-1552.5329784300875,-0.11493176428336316,-0.11083756861393579,3.115910053253174,0.005606651306152344,Validation,AdaBoost,Original
-2769682.826030366,-1599.8506777502091,-0.1953229580209599,-0.17388416882621627,2.9080100059509277,0.005448579788208008,Validation,AdaBoost,Original
-2487182.876532076,-1524.0308463110398,-0.05569154024642686,-0.052427452011236664,2.203946590423584,0.004792690277099609,Validation,AdaBoost,Original
-2370654.6279867645,-1498.976933132379,-0.048083843031216045,-0.02955941335402268,3.7755401134490967,0.006446361541748047,Validation,AdaBoost,Original
-2625546.939116311,-1570.4237469087182,-0.16021974094766578,-0.13207972098182297,3.8141543865203857,0.006417989730834961,Validation,AdaBoost,Original
-2487784.4158627065,-1516.9614923246293,-0.09934297783963664,-0.07409804788146213,3.209641695022583,0.005939483642578125,Validation,AdaBoost,Original
-1987704.55065959,-1375.8813393126238,0.13410426480064574,0.15215464734247575,3.6523430347442627,0.0063817501068115234,Train,AdaBoost,Original
-2036711.0417011864,-1392.6827151022187,0.11275576430245926,0.12953556571334834,2.3006205558776855,0.0050351619720458984,Train,AdaBoost,Original
-2041485.8078431827,-1395.1477786003345,0.10968961487591611,0.12795613086270907,3.1259963512420654,0.0057070255279541016,Train,AdaBoost,Original
-2020084.5912486757,-1386.8673087003142,0.11774781048763105,0.1299666168936925,3.021610975265503,0.005548000335693359,Train,AdaBoost,Original
-2014215.4677941937,-1385.731033231492,0.12031109275841678,0.13347492853896925,3.115910053253174,0.005606651306152344,Train,AdaBoost,Original
-1989679.645184891,-1373.616387160413,0.13102687333133023,0.1574161953805231,2.9080100059509277,0.005448579788208008,Train,AdaBoost,Original
-1998403.053117611,-1371.2292006088828,0.12554044241469076,0.13564276322513102,2.203946590423584,0.004792690277099609,Train,AdaBoost,Original
-2106433.810398768,-1419.8439415285407,0.08255587041462764,0.10575158417282826,3.7755401134490967,0.006446361541748047,Train,AdaBoost,Original
-2003170.8638794702,-1381.706053840955,0.12743143720414252,0.14794844915141958,3.8141543865203857,0.006417989730834961,Train,AdaBoost,Original
-2018603.584823049,-1383.0636102327646,0.12070904153805895,0.14121239535501084,3.209641695022583,0.005939483642578125,Train,AdaBoost,Original
