neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-2477664.0,-1400.0,-0.09422956322042131,-0.09416596740714578,0.005621433258056641,0.004530906677246094,Validation,KNN,Original
-2474208.0,-1404.0,-0.09270326370180637,-0.09267499889590591,0.005652666091918945,0.004293680191040039,Validation,KNN,Original
-2892024.0,-1543.0,-0.2634580980569905,-0.2584562959403227,0.005666017532348633,0.004549264907836914,Validation,KNN,Original
-2665872.0,-1444.0,-0.150520909757887,-0.1471788010875663,0.006501674652099609,0.006146907806396484,Validation,KNN,Original
-2723832.0,-1535.0,-0.17553493591126834,-0.1748094601009884,0.006108760833740234,0.004628419876098633,Validation,KNN,Original
-3107016.0,-1559.0,-0.3409071684433127,-0.33793405550041,0.006215810775756836,0.004610776901245117,Validation,KNN,Original
-2796192.0,-1490.0,-0.18685130360042024,-0.185790171797239,0.006212711334228516,0.004626035690307617,Validation,KNN,Original
-2633398.9859154928,-1465.3521126760563,-0.16424505569447567,-0.1632407365310291,0.005860090255737305,0.0059888362884521484,Validation,KNN,Original
-2781252.5070422534,-1458.2535211267605,-0.22902547090500147,-0.227496762173093,0.005538463592529297,0.00432133674621582,Validation,KNN,Original
-2796512.4507042253,-1438.9859154929577,-0.23576878507645826,-0.23216923041966808,0.005415916442871094,0.004415035247802734,Validation,KNN,Original
-1956955.981395349,-1227.7953488372093,0.14749914030191336,0.1482954039332509,0.005621433258056641,0.004530906677246094,Train,KNN,Original
-1910123.1627906978,-1217.6372093023256,0.16790073262290284,0.16808451123958545,0.005652666091918945,0.004293680191040039,Train,KNN,Original
-1888760.2604651162,-1206.0279069767441,0.17629460442914147,0.1773466777090884,0.005666017532348633,0.004549264907836914,Train,KNN,Original
-1908973.841860465,-1208.5953488372093,0.16627434365895477,0.16660100739231443,0.006501674652099609,0.006146907806396484,Train,KNN,Original
-1834276.018604651,-1182.6976744186047,0.19889788744754122,0.2004208179899336,0.006108760833740234,0.004628419876098633,Train,KNN,Original
-1891492.911627907,-1201.786046511628,0.17390896898068664,0.17499149531446379,0.006215810775756836,0.004610776901245117,Train,KNN,Original
-1900173.0976744187,-1208.4837209302325,0.16852382519349163,0.16904781832650984,0.006212711334228516,0.004626035690307617,Train,KNN,Original
-1912221.9195046439,-1218.2043343653252,0.16714365015728105,0.16772572583620882,0.005860090255737305,0.0059888362884521484,Train,KNN,Original
-1895722.9969040249,-1209.733746130031,0.17423504869471296,0.174817191067277,0.005538463592529297,0.00432133674621582,Train,KNN,Original
-1912013.2755417957,-1213.077399380805,0.16713910631914564,0.16755729388533802,0.005415916442871094,0.004415035247802734,Train,KNN,Original
