dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,SVM,Original,1249.6183736849102,3504674.127305125,1872.077489663589,-0.5259403674391243,1.5209217071533203,0.0016932487487792969
Validation,SVM,Original,1294.2863210452301,3570570.0719842073,1889.5952137916224,-0.569343386069008,1.5209217071533203,0.0016932487487792969
