neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-3623790.0491537405,-1705.3159765972805,-0.6004019119170343,-0.5974088939361879,12.711354494094849,0.003403186798095703,Validation,GradientBoosting,Original
-3508532.948565868,-1704.5313284591332,-0.5495000435303927,-0.5494398181541604,12.195235013961792,0.003523111343383789,Validation,GradientBoosting,Original
-3316890.573051101,-1673.3976607031361,-0.4490724333167033,-0.4489012740302465,12.2675199508667,0.0034334659576416016,Validation,GradientBoosting,Original
-3613131.3360536173,-1733.0093018400619,-0.5593333632789337,-0.5553437942159509,12.17992639541626,0.003545999526977539,Validation,GradientBoosting,Original
-3528721.8152450565,-1702.0309621724473,-0.5229044129494007,-0.5205473072120848,12.329968690872192,0.0033736228942871094,Validation,GradientBoosting,Original
-4015021.798460656,-1766.1091673752303,-0.7327788176861836,-0.7327712831556603,12.197945356369019,0.0034422874450683594,Validation,GradientBoosting,Original
-3549741.7466528392,-1742.8837963024325,-0.5066975441814277,-0.5066233264184434,12.312654733657837,0.003376007080078125,Validation,GradientBoosting,Original
-3294870.841205712,-1674.4847966300829,-0.45668662688121353,-0.45668579207052074,12.255791425704956,0.003451108932495117,Validation,GradientBoosting,Original
-3983464.9733578335,-1798.7287573669744,-0.7602788320436065,-0.7601183161967726,12.403072595596313,0.0034685134887695312,Validation,GradientBoosting,Original
-3602338.0630479422,-1726.3278394132965,-0.5918602223588918,-0.5869086896712008,12.27756667137146,0.0034427642822265625,Validation,GradientBoosting,Original
-1249988.4278909506,-949.4957268688257,0.45547257091092597,0.45547257091092597,12.711354494094849,0.003403186798095703,Train,GradientBoosting,Original
-1263061.4438720692,-959.0986008338632,0.449777625562792,0.4497776255627919,12.195235013961792,0.003523111343383789,Train,GradientBoosting,Original
-1298721.1358512882,-983.1239420769864,0.4336159917515494,0.4336159917515494,12.2675199508667,0.0034334659576416016,Train,GradientBoosting,Original
-1249017.9414200915,-946.215071620538,0.45450362904012864,0.45450362904012864,12.17992639541626,0.003545999526977539,Train,GradientBoosting,Original
-1233006.8121043083,-944.5831942224582,0.46149633318559413,0.46149633318559424,12.329968690872192,0.0033736228942871094,Train,GradientBoosting,Original
-1224695.862121049,-933.9240015137161,0.4651260593126202,0.4651260593126203,12.197945356369019,0.0034422874450683594,Train,GradientBoosting,Original
-1277042.410512328,-967.0189442359916,0.4411928366641835,0.4411928366641834,12.312654733657837,0.003376007080078125,Train,GradientBoosting,Original
-1291827.6322116668,-968.7550630239722,0.4373525188601112,0.4373525188601113,12.255791425704956,0.003451108932495117,Train,GradientBoosting,Original
-1231896.848319843,-939.8975625649925,0.4633935218239732,0.4633935218239733,12.403072595596313,0.0034685134887695312,Train,GradientBoosting,Original
-1294628.3450834341,-967.1065232684283,0.436068078468117,0.436068078468117,12.27756667137146,0.0034427642822265625,Train,GradientBoosting,Original
