dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,KNN,Original,1271.8025430067314,2002820.130355807,1415.2102777876535,0.12796911364206365,0.3005855083465576,0.0016579627990722656
Validation,KNN,Original,1407.142857142857,2458212.2448979593,1567.8686950436759,-0.08043787135107205,0.3005855083465576,0.0016579627990722656
