neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-3815472.5945621133,-1249.7956569912412,-0.6850561297363924,-0.000346752578741949,0.40610623359680176,0.06720995903015137,Validation,SVM,Original
-3815793.003985097,-1249.9328055652138,-0.6851976345824744,-0.0002604524489620008,0.3114035129547119,0.0892326831817627,Validation,SVM,Original
-3927251.6718032616,-1284.8995733497147,-0.71572501744373,-4.788781530917774e-05,0.18252038955688477,0.03751993179321289,Validation,SVM,Original
-4074962.1406266373,-1329.4840480568762,-0.7586475079308781,0.000353305602677656,0.16778874397277832,0.039179325103759766,Validation,SVM,Original
-4074394.3625668054,-1329.549155518384,-0.7584024697107616,0.0002684321277319768,0.17001867294311523,0.03879904747009277,Validation,SVM,Original
-4075257.8851973508,-1329.706886499957,-0.7587751435835097,-0.0002959198434282495,0.16591262817382812,0.041066884994506836,Validation,SVM,Original
-4126819.688492472,-1334.7363914788614,-0.7516398469815986,1.4017110393615972e-05,0.16885161399841309,0.03902435302734375,Validation,SVM,Original
-3921381.265251741,-1292.6771716672727,-0.7336714922350143,0.00012336159878933994,0.18256068229675293,0.045504093170166016,Validation,SVM,Original
-3832701.7175128073,-1257.3994485698643,-0.6936570920034852,-0.00016426030048632967,0.1834101676940918,0.04454398155212402,Validation,SVM,Original
-3833216.4044194515,-1256.983132311776,-0.6938845302947603,0.0004431249505295609,0.1893291473388672,0.037917375564575195,Validation,SVM,Original
-3962587.1735643507,-1295.7185264460093,-0.7262059056042542,0.000639585003775367,0.40610623359680176,0.06720995903015137,Train,SVM,Original
-3962244.4390667197,-1295.6755672053873,-0.7260566015541599,0.0007000406538555382,0.3114035129547119,0.0892326831817627,Train,SVM,Original
-3950258.0352823907,-1291.7795646769039,-0.7227431800995052,0.0006485050260035541,0.18252038955688477,0.03751993179321289,Train,SVM,Original
-3935852.8972076355,-1286.8613708402993,-0.7189452616009671,0.0005843643963112655,0.16778874397277832,0.039179325103759766,Train,SVM,Original
-3935273.1785054924,-1286.8753565177742,-0.7186920751272505,0.0005256252880515566,0.17001867294311523,0.03879904747009277,Train,SVM,Original
-3935063.3944114605,-1286.7998909526054,-0.7186004539757966,0.0006729248872998639,0.16591262817382812,0.041066884994506836,Train,SVM,Original
-3929897.6221805876,-1286.2310457248993,-0.7196413559749233,0.0006340117111285348,0.16885161399841309,0.03902435302734375,Train,SVM,Original
-3951521.812001482,-1290.9220051604457,-0.7210607195214973,0.0006246700837236885,0.18256068229675293,0.045504093170166016,Train,SVM,Original
-3961255.994274975,-1294.8022135001577,-0.7254980651510534,0.0007064764942990021,0.1834101676940918,0.04454398155212402,Train,SVM,Original
-3963353.4671505964,-1294.884718897518,-0.7264117110739183,0.0005709751642435368,0.1893291473388672,0.037917375564575195,Train,SVM,Original
