neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,score_time,Dataset,model,sampling
-1.3364463860552356e+28,-49649010275613.58,-5.902249640309304e+21,-5.8862956580621e+21,0.06731724739074707,0.003736257553100586,Validation,LinearRegression,Original
-2.5399282877603464e+27,-28210080867998.97,-1.121727813346441e+21,-1.0834265943635324e+21,0.16100049018859863,0.0040035247802734375,Validation,LinearRegression,Original
-5.920706403535851e+27,-39941866075147.5,-2.586619077768805e+21,-2.5852566732551283e+21,0.15488505363464355,0.0037298202514648438,Validation,LinearRegression,Original
-6.008032526921906e+26,-12596061454108.21,-2.5929103305519425e+20,-2.546581771266187e+20,0.1732475757598877,0.00477147102355957,Validation,LinearRegression,Original
-1.692736784022174e+27,-20382039865343.39,-7.305411005231426e+20,-7.284186366248662e+20,0.14891529083251953,0.0035300254821777344,Validation,LinearRegression,Original
-1.140495876834285e+26,-5827373054204.605,-4.9220831074804064e+19,-4.919524931487255e+19,0.1626136302947998,0.003706693649291992,Validation,LinearRegression,Original
-4.6171291888830785e+26,-12327140486586.217,-1.9597530486881563e+20,-1.8837316845839198e+20,0.15189909934997559,0.0037729740142822266,Validation,LinearRegression,Original
-1.6421032083439695e+28,-66045405668040.805,-7.259859031919034e+21,-7.25955700845641e+21,0.1519172191619873,0.003705263137817383,Validation,LinearRegression,Original
-5.268181335012849e+27,-36042099662099.695,-2.3279903675350613e+21,-2.3040141976146197e+21,0.14981651306152344,0.00391840934753418,Validation,LinearRegression,Original
-3.078253447806908e+27,-31635411808792.047,-1.3602691174844675e+21,-1.359734388113091e+21,0.1468820571899414,0.0037245750427246094,Validation,LinearRegression,Original
-1096953.2965479651,-716.6998062015504,0.5221386493890336,0.5221386499984709,0.06731724739074707,0.003736257553100586,Train,LinearRegression,Original
-1110408.5609656991,-727.3857558139534,0.5162771866925633,0.5162774576970661,0.16100049018859863,0.0040035247802734375,Train,LinearRegression,Original
-1122434.659014656,-730.5072674418604,0.510496115278054,0.5104961990481195,0.15488505363464355,0.0037298202514648438,Train,LinearRegression,Original
-1115662.2579684472,-729.5815406976744,0.5127454196160404,0.5127454256348503,0.1732475757598877,0.00477147102355957,Train,LinearRegression,Original
-1075283.5815649226,-703.0118217054263,0.5303804116460528,0.5303805365071612,0.14891529083251953,0.0035300254821777344,Train,LinearRegression,Original
-1093797.0980030384,-718.5420482073644,0.5222948143973728,0.5222948153165285,0.1626136302947998,0.003706693649291992,Train,LinearRegression,Original
-1107665.054689014,-718.6515019379844,0.5153088401436416,0.5153088611196062,0.15189909934997559,0.0037729740142822266,Train,LinearRegression,Original
-1147322.17578125,-743.9998065015479,0.5002909705886479,0.5002917264217243,0.1519172191619873,0.003705263137817383,Train,LinearRegression,Original
-1090269.337751548,-714.3417182662539,0.5250855699549049,0.5250857884283857,0.14981651306152344,0.00391840934753418,Train,LinearRegression,Original
-1151052.8597593515,-747.6796875,0.4986086520861499,0.4986088048876951,0.1468820571899414,0.0037245750427246094,Train,LinearRegression,Original
