dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time,metrics_time
Train,AdaBoost,Original,1325.5505493741236,1928976.73708734,1388.876069736728,0.16012063773930718,618.7864325046539,0.0015096664428710938
Validation,AdaBoost,Original,1477.4115605074703,2420524.6045475667,1555.8035237611357,-0.0638733318159137,618.7864325046539,0.0015096664428710938
