accuracy,recall,precision,f1,set,model,sampling,dataset,acc,mcc,roc_auc,conf_matrix
0.4767985195466111,0.4767985195466111,0.43650047005448156,0.43034905358977327,CrossVal,KNN,Original,,,,,
,0.6057142857142858,0.6310539902801868,0.5650845407042844,,KNN,Original,Train,0.6057142857142858,0.2918238392556591,0.7522044136754468,"{0: {0: 477, 1: 217, 2: 77}, 1: {0: 64, 1: 132, 2: 53}, 2: {0: 0, 1: 3, 2: 27}}"
,0.623574144486692,0.6707975840987499,0.581871611207885,,KNN,Original,Validation,0.623574144486692,0.326688865346863,0.7804166610079372,"{0: {0: 124, 1: 53, 2: 25}, 1: {0: 13, 1: 32, 2: 8}, 2: {0: 0, 1: 0, 2: 8}}"
