accuracy,recall,precision,f1,set,model,sampling,dataset,acc,mcc,roc_auc,conf_matrix
0.5260818120351589,0.5260818120351589,0.5227721881550053,0.5032973121061969,CrossVal,KNN,Over,,,,,
,0.6816226183159189,0.6959303396536481,0.6702152349391858,,KNN,Over,Train,0.6816226183159189,0.5345616644332428,0.8662879841334129,"{0: {0: 242, 1: 71, 2: 4}, 1: {0: 218, 1: 374, 2: 53}, 2: {0: 85, 1: 87, 2: 493}}"
,0.6953316953316954,0.7014872962979556,0.688077506682158,,KNN,Over,Validation,0.6953316953316954,0.5494407983464632,0.8731135857464382,"{0: {0: 70, 1: 21, 2: 1}, 1: {0: 45, 1: 98, 2: 12}, 2: {0: 18, 1: 27, 2: 115}}"
