accuracy,recall,precision,f1,set,model,sampling,dataset,acc,mcc,roc_auc,conf_matrix
0.5241186129624265,0.5241186129624265,0.5180733614413182,0.5167994509852412,CrossVal,XGBoost,Over,,,,,
,0.8063921327596804,0.8064330856636726,0.8022312934925403,,XGBoost,Over,Train,0.8063921327596804,0.7132367845743517,0.9528075284715446,"{0: {0: 403, 1: 91, 2: 1}, 1: {0: 79, 1: 375, 2: 15}, 2: {0: 63, 1: 66, 2: 534}}"
,0.8157248157248157,0.8159398694882567,0.8122349949688079,,XGBoost,Over,Validation,0.8157248157248157,0.727326594433528,0.9596966154657994,"{0: {0: 105, 1: 28, 2: 0}, 1: {0: 17, 1: 103, 2: 4}, 2: {0: 11, 1: 15, 2: 124}}"
