p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,target,experimental_characteristics
26.11,23.05351220299154,15.283132103158406,6.415531167379325,2.9866443550572614,4.507052317334541,2.730277303728508,1.067983393098607,4.425598555746421,5.749338587441762,4.993235420385331,3.4709540263344336,3.5291903941442206,5.611561020443685,7.94863018920246,9.26603046677995,8.854044273663872,7.035573955639042,5.215970434924069,4.438464221652158,3.6362703864078285,1.9292931209397024,1.1347255064972261,2.609356632564178,3.1353911117076287,2.5799551698038528,1.5396519532226876,0.45069358041965746,0.7575673799855815,1.793762569524402,2.1654236130380555,1.52892610427308,1,Mammalian
17.57,16.20558258131868,12.446997321670626,7.19935153063538,1.6756543490775437,2.9683465961776707,5.903434788843457,6.887793404842261,6.263639586840808,4.866343563354243,3.7839134187502776,3.5525148871658705,3.501191589077105,3.003543007099577,2.0648060986355357,1.046105571249126,0.6053924347066131,0.8659739945243922,0.970343928145172,0.8451263068869048,0.6938451801835327,0.8987420571461936,1.4856599324256394,2.160400069370562,2.6897247305552856,2.933424454449702,2.8952559982799166,2.7214737588884335,2.5698285594430863,2.430887460283792,2.1779417607817697,1.813106339983805,1,Mammalian
14.46,13.755642538690699,11.759414231450947,8.799258162834908,5.352191956835545,1.9715745112355747,1.1011225678889065,3.0597501502239264,4.0682660819124195,4.158475004136997,3.665385728486665,3.1860223296850285,3.2977620463479087,3.8697474512033154,4.370253225102533,4.499795628326805,4.219668233404138,3.6441573964962424,2.937223135786521,2.2203944251900327,1.548250758219508,1.0877372607148652,1.3576294358186856,2.1986189006684786,3.1016142711112495,3.79875173088391,4.136932645327214,4.058932957394956,3.603904317892592,2.888751620019363,2.0721223629763994,1.333997405562442,1,Mammalian
16.44,15.377956128138822,12.43993695690245,8.297337551489075,3.854605458007031,0.48744283794787624,2.851080327311862,4.175119709130558,4.279337327088356,3.5962131472658063,2.684924101208282,2.1194733944251927,2.254696542602209,2.843814013952155,3.4762237203930315,3.885266272255259,3.9330903879773733,3.620430768734443,3.056890072029633,2.371016773146973,1.6508705760575901,1.1069347318504141,1.3471987582490343,2.1501770608324655,2.9230928895586406,3.4528940457669615,3.730139725951117,3.83046433455558,3.7658712942674146,3.422756451116254,2.66760134019607,1.4947707960847525,1,Mammalian
17.86,16.581211239895175,13.058705752745087,8.139928983084639,2.9558750804726146,1.429193888685177,4.231222293548786,5.246691795301306,4.758259777025109,3.4232579251307604,2.03739303314725,1.2698393350134485,1.1859277624628282,1.5607333718774974,2.3739651391807093,3.2690685255904497,3.8768286008024653,4.040211978426435,3.8057410673059047,3.308137459967349,2.659530619017435,2.0311582207998184,1.9617443150692595,2.75232349590416,3.775733557117737,4.496962065153518,4.667139042232443,4.264398938567186,3.452430265388377,2.5123860604912562,1.757836296024278,1.3931658522363606,1,Mammalian
19.38,17.917400629359868,13.903287978010274,8.351669348972631,2.7237638432622164,2.6637864291787783,5.458497957965624,6.311253200530502,5.504215525977771,3.838157538066923,2.264277798740776,1.4684473270941887,1.2218477282978217,1.369394817382144,2.1849540969221253,3.1214041864043818,3.6887938408102996,3.7269847683797637,3.317731075112614,2.6327434106061722,1.8169535228443148,1.1371561301125723,1.3389938915559034,2.103941984547381,2.6876032898449203,2.945775017613586,3.141396676735633,3.5963561070333117,4.136336368190397,4.249947884069349,3.5767286560312854,2.118024452644462,1,Mammalian
18.160000000000004,16.908776442693977,13.45016840811272,8.585288587569531,3.4160525418665615,1.4348521489974395,4.3673861018041285,5.730565831076193,5.60229357495028,4.547140914340372,3.333170848450448,2.6836573032437654,2.7129393946839877,2.9329588075299067,3.054657022749687,3.0085652531136065,2.7646337913003958,2.326156276446331,1.7519265693216197,1.1177951118560516,0.47921719876213853,0.30893664223094597,0.840297197358948,1.2332747483554103,1.4920813315871273,1.9794137461710994,2.955572208224714,4.122034371743316,4.973217846464122,5.085185179741326,4.2646451009862725,2.67403487997527,1,Mammalian
17.950000000000003,16.738103550290283,13.381535091742709,8.6397718857561,3.5599370996263726,1.264967304421187,4.22274692006466,5.685104352724026,5.66981740093317,4.699926958876634,3.5264786826983334,2.8895424624046453,2.9222538496632695,3.1089677137034153,3.128505399882283,2.941511708853441,2.5876823607235884,2.116720354226579,1.5888642273586304,1.0625994648383337,0.5937361615649487,0.409807296615312,0.6882572729234058,1.027914427391585,1.431422593113376,2.1331700329591534,3.160191826400539,4.225908224296068,4.927794400670759,4.921547023309831,4.055111479918136,2.4794000275966828,1,Mammalian
19.37,17.96879962647314,14.107202267911942,8.722526070305952,3.221312483459013,2.6420061049145547,5.557627974742194,6.735356174069344,6.2497237624058055,4.803096178190341,3.341507407516541,2.615342314695952,2.4108692204990163,2.132540971820391,1.8617464435597533,1.995035428598772,2.371181140275876,2.5915460015972065,2.5228464554259524,2.2052424452708417,1.6892019313780693,0.9966547246737432,0.48407825700459767,1.2516809026274638,2.275247875203979,3.185843121874699,3.8806440727784413,4.301228611306662,4.36955973990403,3.9810694228099486,3.0691626668910064,1.6850536645704304,1,Mammalian
19.16,17.794083196655112,14.024021247603235,8.748406830651954,3.3031917477146053,2.4644158463286945,5.405756749738982,6.667323723671948,6.2817856935887395,4.915298277199651,3.494188740842894,2.7835033181532425,2.6071705123879165,2.337443304487817,1.95539546611866,1.8791967171448969,2.162267328523465,2.415662440130323,2.432928681237658,2.2113951763514073,1.7806617846350798,1.1425343029054686,0.5331709342863994,1.1936269158003003,2.314901401749939,3.3428694142277116,4.0906425629943595,4.451504567177787,4.371822252322854,3.833764157879367,2.859182721082386,1.5303988656880014,1,Mammalian
