Test,Value,Num DF,Den DF,F Value,Pr > F
Hotelling-Lawley trace,0.37142243704669786,48,1046.8776415340449,4.388072732751017,8.54113054300268e-20
Roy's greatest root,0.2862335879640932,24,569,6.786121314648709,1.8832678398460693e-19
Wilks' lambda,0.6846574258006466,48,1136.0,4.935598760852271,9.166330741110709e-24
Pillai's trace,0.34152887331042314,48.0,1138.0,4.88225585667181,2.1348375521564255e-23
Hotelling-Lawley trace,0.4223371633633284,48,1046.8776415340449,4.989591380956424,6.5088334385382166e-24
Roy's greatest root,0.29082326271722364,24,569,6.89493485358751,7.811873317753727e-20
Wilks' lambda,0.6970892671881876,48,1136.0,4.6794059876057235,5.555466646761903e-22
Pillai's trace,0.3254276747665821,48.0,1138.0,4.607354172165886,1.740586839932212e-21
Hotelling-Lawley trace,0.40223512834741,48,1046.8776415340449,4.7521011732362375,2.778551753877263e-22
Roy's greatest root,0.29137774053734267,24,569,6.908080598572832,7.024541303014583e-20
Wilks' lambda,0.6913117636932564,48,1136.0,4.79760793120563,8.37852084450356e-23
Pillai's trace,0.32580298067712143,48.0,1138.0,4.61370171953286,1.5727775292556426e-21
Hotelling-Lawley trace,0.42176845129709173,48,1046.8776415340449,4.982872481768527,7.239080769374826e-24
Roy's greatest root,0.35129521101812644,24,569,8.328623961221414,8.10431994342034e-25
Wilks' lambda,0.706209608479815,48,1136.0,4.4957735573594535,1.0410016593932941e-20
Pillai's trace,0.3118248239217192,48.0,1138.0,4.379194157041251,6.59509425181193e-20
Hotelling-Lawley trace,0.3904732473298438,48,1046.8776415340449,4.613143522240709,2.4851576972159786e-21
Roy's greatest root,0.30739900245894675,24,569,7.287918016630862,3.285750453077546e-21
Wilks' lambda,0.6962749254885361,48,1136.0,4.695977490239165,4.262274682785648e-22
Pillai's trace,0.3228540265580123,48.0,1138.0,4.563902606484104,3.482861146449497e-21
Hotelling-Lawley trace,0.4087410188801941,48,1046.8776415340449,4.828963306488526,8.254152124273948e-23
Roy's greatest root,0.3239281557248852,24,569,7.6797966919774865,1.4172343341006472e-22
Wilks' lambda,0.6757987481201109,48,1136.0,5.122454166997446,4.55352335876668e-25
Pillai's trace,0.34806207312434956,48.0,1138.0,4.995327921267763,3.474850093171518e-24
Hotelling-Lawley trace,0.4444228869480658,48,1046.8776415340449,5.250517355746356,1.0430771091684455e-25
Roy's greatest root,0.34082991314571287,24,569,8.08050919082961,5.802438175556062e-24
Wilks' lambda,0.7152014628062257,48,1136.0,4.318177763387296,1.7509524812586e-19
Pillai's trace,0.3015005366996264,48.0,1138.0,4.208464811854657,9.870868822303982e-19
Hotelling-Lawley trace,0.3748545712364679,48,1046.8776415340449,4.428620779802303,4.52166294297205e-20
Roy's greatest root,0.2959451531405521,24,569,7.016366339040589,2.9297817313171396e-20
Wilks' lambda,0.701035635729879,48,1136.0,4.59950853404632,1.990957678995434e-21
Pillai's trace,0.3214862639816912,48.0,1138.0,4.540864542846251,5.02971384928908e-21
Hotelling-Lawley trace,0.3943343968109896,48,1046.8776415340449,4.658760057660624,1.211202353392833e-21
Roy's greatest root,0.2793151889418868,24,569,6.622097604497232,7.108766628639442e-19
Wilks' lambda,0.6997152556973197,48,1136.0,4.62616545105082,1.3007880354423776e-21
Pillai's trace,0.3201337628644485,48.0,1138.0,4.518120427366024,7.228293484210282e-21
Hotelling-Lawley trace,0.4007854958963789,48,1046.8776415340449,4.734974871762748,3.6408424315359542e-22
Roy's greatest root,0.30897439213511096,24,569,7.325267880203255,2.433325341961809e-21
Wilks' lambda,0.6820424526665563,48,1136.0,4.990377317280431,3.803955851462057e-24
Pillai's trace,0.3394147787986362,48.0,1138.0,4.8458571178876495,3.827518140306242e-23
Hotelling-Lawley trace,0.4347241358789834,48,1046.8776415340449,5.135934011114892,6.412617327425274e-25
Roy's greatest root,0.3430044599526528,24,569,8.132064071377476,3.85202448190042e-24
Wilks' lambda,0.7047016591905948,48,1136.0,4.525889023245809,6.442593797536483e-21
Pillai's trace,0.31435940540161594,48.0,1138.0,4.421427434539029,3.370330082482836e-20
Hotelling-Lawley trace,0.39199180619849067,48,1046.8776415340449,4.6310841367538504,1.8733602393689525e-21
Roy's greatest root,0.3026072377287839,24,569,7.174313261153251,8.198984861268498e-21
Wilks' lambda,0.6989089563485223,48,1136.0,4.642480821074938,1.0023474200993091e-21
Pillai's trace,0.32179950235548865,48.0,1138.0,4.546137293519508,4.624031104544353e-21
Hotelling-Lawley trace,0.40117182989374867,48,1046.8776415340449,4.739539113204574,3.3878285959589777e-22
Roy's greatest root,0.3035665684607769,24,569,7.197057393924252,6.82664739429936e-21
Wilks' lambda,0.7029212607807975,48,1136.0,4.561570287117107,3.647352462867956e-21
Pillai's trace,0.3183866271094389,48.0,1138.0,4.488794158083523,1.1534228179404292e-20
Hotelling-Lawley trace,0.39232111292613725,48,1046.8776415340449,4.63497464451043,1.7619810086730464e-21
Roy's greatest root,0.2865244241294212,24,569,6.793016555401694,1.781075797368733e-19
Wilks' lambda,0.685180755839828,48,1136.0,4.924673699244962,1.0923033738068189e-23
Pillai's trace,0.33406032398893626,48.0,1138.0,4.754081812574846,1.665770046958905e-22
Hotelling-Lawley trace,0.4313871366237026,48,1046.8776415340449,5.096509910735445,1.1975169443716989e-24
Roy's greatest root,0.35149473882108495,24,569,8.333354432883223,7.806414047918568e-25
Wilks' lambda,0.7063503264242423,48,1136.0,4.492968180237505,1.0885706836417752e-20
Pillai's trace,0.31212195944524024,48.0,1138.0,4.3841387098968125,6.096825149432086e-20
Hotelling-Lawley trace,0.3895763580931655,48,1046.8776415340449,4.602547460152863,2.936461960050388e-21
Roy's greatest root,0.3033731718637557,24,569,7.19247228293654,7.08342100875696e-21
Wilks' lambda,0.7181468850207215,48,1136.0,4.2607299939475425,4.350566970950652e-19
Pillai's trace,0.2992781094026192,48.0,1138.0,4.1719843886967505,1.756561744090106e-18
Hotelling-Lawley trace,0.3682089640315128,48,1046.8776415340449,4.350108000659208,1.5484508947003617e-19
Roy's greatest root,0.2822402533519206,24,569,6.691446006551784,4.052983897800805e-19
Wilks' lambda,0.711462882588425,48,1136.0,4.391608510670024,5.458915164262418e-20
Pillai's trace,0.3103141481924758,48.0,1138.0,4.354082302060176,9.827049089877175e-20
Hotelling-Lawley trace,0.3749458940994293,48,1046.8776415340449,4.429699689757296,4.445750544040961e-20
Roy's greatest root,0.2548324145608378,24,569,6.04165182854653,7.940229587998985e-17
Wilks' lambda,0.6560231519832622,48,1136.0,5.553151616248219,4.424338281426429e-28
Pillai's trace,0.3732027674352604,48.0,1138.0,5.438917299685975,2.7525914442182627e-27
Hotelling-Lawley trace,0.47978631188041615,48,1046.8776415340449,5.668309242300653,1.381096457138345e-28
Roy's greatest root,0.3539045243597653,24,569,8.390486431696102,4.967231375520732e-25
Wilks' lambda,0.6487686066323533,48,1136.0,5.7160657919400295,3.1995709155842783e-29
Pillai's trace,0.3813843920926461,48.0,1138.0,5.586248057717169,2.5587821825007447e-28
Hotelling-Lawley trace,0.4949043331632683,48,1046.8776415340449,5.8469171301060205,8.127036770540127e-30
Roy's greatest root,0.3689235500321534,24,569,8.74656249867897,2.9976321123172055e-26
Wilks' lambda,0.712939354753315,48,1136.0,4.362539605401532,8.66167174646557e-20
Pillai's trace,0.3066457130189176,48.0,1138.0,4.293288672892697,2.577727955706847e-19
Hotelling-Lawley trace,0.3751729732566127,48,1046.8776415340449,4.43238245675903,4.26246145710332e-20
Roy's greatest root,0.2754375830390425,24,569,6.530166031217298,1.4980538018409662e-18
Wilks' lambda,0.696411898432936,48,1136.0,4.693188116641701,4.456709641139254e-22
Pillai's trace,0.32660902936073527,48.0,1138.0,4.627344041902334,1.264799251063286e-21
Hotelling-Lawley trace,0.4028753305403369,48,1046.8776415340449,4.759664673730628,2.465865667978477e-22
Roy's greatest root,0.28815934884968003,24,569,6.831777895644497,1.3016954886716744e-19
Wilks' lambda,0.6635538963710058,48,1136.0,5.386869053440176,6.452348501173052e-27
Pillai's trace,0.3622509945229965,48.0,1138.0,5.244007048553388,6.362529921173914e-26
Hotelling-Lawley trace,0.46814767335991403,48,1046.8776415340449,5.530807607385312,1.2234605379191214e-27
Roy's greatest root,0.3601755666013733,24,569,8.539162391507558,1.5348854148566054e-25
Wilks' lambda,0.6875558040566445,48,1136.0,4.875248943163351,2.41378898317549e-23
Pillai's trace,0.3342859813129817,48.0,1138.0,4.757937668001193,1.5660270753710304e-22
Hotelling-Lawley trace,0.42266010825470096,48,1046.8776415340449,4.993406728470918,6.127429264454672e-24
Roy's greatest root,0.32487784444151485,24,569,7.702312228634248,1.1836845954538557e-22
Wilks' lambda,0.6908068202096946,48,1136.0,4.808008975363022,7.09251710337827e-23
Pillai's trace,0.3250565086550505,48.0,1138.0,4.601079438910067,1.9240376161016556e-21
Hotelling-Lawley trace,0.4246192167537079,48,1046.8776415340449,5.016552100768155,4.2478514157915275e-24
Roy's greatest root,0.36101027893865417,24,569,8.55895202983726,1.3130621196832272e-25
Wilks' lambda,0.691309162084884,48,1136.0,4.797661491052291,8.371335210958788e-23
Pillai's trace,0.32842118770245515,48.0,1138.0,4.65806274552914,7.741313425644327e-22
Hotelling-Lawley trace,0.4179902480336228,48,1046.8776415340449,4.938235892630174,1.4669159993924317e-23
Roy's greatest root,0.3320333419243928,24,569,7.871957148124146,3.05379157308776e-23
Wilks' lambda,0.6848404309039678,48,1136.0,4.931776914159484,9.746193099972076e-24
Pillai's trace,0.337550506342138,48.0,1138.0,4.813836421331818,6.395327254661873e-23
Hotelling-Lawley trace,0.4274990474255161,48,1046.8776415340449,5.050575103111205,2.4787200975255112e-24
Roy's greatest root,0.32773962420301805,24,569,7.770160257146553,6.882253005788308e-23
Wilks' lambda,0.6567300876513056,48,1136.0,5.53742057692169,5.7014110565133125e-28
Pillai's trace,0.37072243211196265,48.0,1138.0,5.394544900073425,5.6280829713773295e-27
Hotelling-Lawley trace,0.48089374694998166,48,1046.8776415340449,5.681392742777071,1.1222413109090743e-28
Roy's greatest root,0.3669888369985265,24,569,8.7006936771734,4.299563195463321e-26
Wilks' lambda,0.7116986624479115,48,1136.0,4.386960388831395,5.877272580073536e-20
Pillai's trace,0.3058764185257086,48.0,1138.0,4.280573252455917,3.1531413254574553e-19
Hotelling-Lawley trace,0.3803944996149023,48,1046.8776415340449,4.4940708071407025,1.6178065473201175e-20
Roy's greatest root,0.29734406471024377,24,569,7.049532200838696,2.241876039908529e-20
Wilks' lambda,0.7032863381449228,48,1136.0,4.55424266852889,4.099538091667801e-21
Pillai's trace,0.3133212971445087,48.0,1138.0,4.404114275326108,4.438419270258687e-20
Hotelling-Lawley trace,0.39828162637779757,48,1046.8776415340449,4.705393563621494,5.806085318091701e-22
Roy's greatest root,0.3258007280142458,24,569,7.72419226000441,9.937170393173989e-23
Wilks' lambda,0.7023971436109434,48,1136.0,4.572100045742738,3.0833735573793194e-21
Pillai's trace,0.31573249958496097,48.0,1138.0,4.444360140228437,2.340082947731667e-20
Hotelling-Lawley trace,0.397884894230082,48,1046.8776415340449,4.700706475966159,6.25157815380989e-22
Roy's greatest root,0.3162752935903595,24,569,7.498360085538106,6.061529048457147e-22
Wilks' lambda,0.6680933062931872,48,1136.0,5.287997609454525,3.172095754361444e-26
Pillai's trace,0.3588064892728502,48.0,1138.0,5.183242435607017,1.6923437829498025e-25
Hotelling-Lawley trace,0.45653338428588564,48,1046.8776415340449,5.393593642603685,1.0787495944303725e-26
Roy's greatest root,0.3370883430958782,24,569,7.991802800898112,1.175143235652945e-23
Wilks' lambda,0.7024700138209719,48,1136.0,4.570635343912952,3.1562744311778034e-21
Pillai's trace,0.3172775751559085,48.0,1138.0,4.4702099407066145,1.5507078644559092e-20
Hotelling-Lawley trace,0.3954366616892231,48,1046.8776415340449,4.67178247627083,9.864299373011428e-22
Roy's greatest root,0.30250807970151417,24,569,7.171962389590065,8.355723963227094e-21
Wilks' lambda,0.6942879993184607,48,1136.0,4.736532863874634,2.227756587957951e-22
Pillai's trace,0.32532739108001946,48.0,1138.0,4.605658556249389,1.7883644579541265e-21
Hotelling-Lawley trace,0.41207195078109116,48,1046.8776415340449,4.86831572570476,4.431840072223734e-23
Roy's greatest root,0.3251925791703091,24,569,7.709774064496077,1.1151255003853477e-22
Wilks' lambda,0.7200505617480073,48,1136.0,4.223788198612396,7.804920455570712e-19
Pillai's trace,0.29489630251302085,48.0,1138.0,4.100337034662722,5.437217622421428e-18
Hotelling-Lawley trace,0.36803328553433756,48,1046.8776415340449,4.348032493241522,1.5996176159486046e-19
Roy's greatest root,0.2984895602981161,24,569,7.076689992067835,1.8008462253601762e-20
Wilks' lambda,0.7093180685980458,48,1136.0,4.433997362737114,2.782731375811378e-20
Pillai's trace,0.3077771545217191,48.0,1138.0,4.312010909959914,1.9157278817475043e-19
Hotelling-Lawley trace,0.3857038476729183,48,1046.8776415340449,4.55679670390481,6.033564020149478e-21
Roy's greatest root,0.3072675580215571,24,569,7.284801688094416,3.3691506622413758e-21
Wilks' lambda,0.6920208888114963,48,1136.0,4.783020289435308,1.0583850546397144e-22
Pillai's trace,0.33262397690156786,48.0,1138.0,4.729563103820522,2.466560745336497e-22
Hotelling-Lawley trace,0.409430192146438,48,1046.8776415340449,4.837105362853758,7.257738046777062e-23
Roy's greatest root,0.2840585128305273,24,569,6.734553908357085,2.858737492843063e-19
Wilks' lambda,0.6519990909939732,48,1136.0,5.643183538194726,1.0362356666734346e-28
Pillai's trace,0.3779294380124464,48.0,1138.0,5.5238516146298,6.998907023924468e-28
Hotelling-Lawley trace,0.48784175375874456,48,1046.8776415340449,5.763478142536234,3.052199982588881e-29
Roy's greatest root,0.36051709607437776,24,569,8.547259486096706,1.439912245808616e-25
Wilks' lambda,0.7090543750199525,48,1136.0,4.439222121304392,2.5608272492844604e-20
Pillai's trace,0.31118881503767337,48.0,1138.0,4.368616351082938,7.801760923616641e-20
Hotelling-Lawley trace,0.38177951432117446,48,1046.8776415340449,4.510433699257228,1.2509384930849374e-20
Roy's greatest root,0.2797117133649904,24,569,6.631498537694981,6.587264117348538e-19
Wilks' lambda,0.6649159395299066,48,1136.0,5.357096526310682,1.0423709497279756e-26
Pillai's trace,0.36265212483966114,48.0,1138.0,5.251100019840527,5.675764548474384e-26
Hotelling-Lawley trace,0.4624885309832377,48,1046.8776415340449,5.463949157606935,3.533704772341348e-27
Roy's greatest root,0.34084779409585947,24,569,8.080933118356,5.782916186319613e-24
Wilks' lambda,0.693589329291425,48,1136.0,4.750834892758415,1.7719552636694562e-22
Pillai's trace,0.3234215534304089,48.0,1138.0,4.573472843815624,2.989584946266248e-21
Hotelling-Lawley trace,0.41724948145092355,48,1046.8776415340449,4.92948430059195,1.684714916680846e-23
Roy's greatest root,0.34645946422981216,24,569,8.213976464448463,2.010515042672192e-24
Wilks' lambda,0.6912449780322079,48,1136.0,4.798982957094283,8.195982985221354e-23
Pillai's trace,0.3257217348279621,48.0,1138.0,4.612327367469851,1.6076839061622985e-21
Hotelling-Lawley trace,0.42211996959206355,48,1046.8776415340449,4.987025402247682,6.778599057017292e-24
Roy's greatest root,0.3524854615108332,24,569,8.35684281665267,6.482008123851707e-25
Wilks' lambda,0.7278854795815703,48,1136.0,4.073276444197011,8.382333553061892e-18
Pillai's trace,0.28587352459124726,48.0,1138.0,3.953958421048227,5.418989567374103e-17
Hotelling-Lawley trace,0.3549397858494572,48,1046.8776415340449,4.193342783593519,1.795308086411986e-18
Roy's greatest root,0.28968779852093895,24,569,6.868014889933927,9.710834819061268e-20
Wilks' lambda,0.7019663121551993,48,1136.0,4.580764480624609,2.685256499407299e-21
Pillai's trace,0.3180015550055373,48.0,1138.0,4.482338785167208,1.278335149702092e-20
Hotelling-Lawley trace,0.39612416702781283,48,1046.8776415340449,4.679904827343303,8.678645441041315e-22
Roy's greatest root,0.30190315752524033,24,569,7.157620692994239,9.379087704556183e-21
Wilks' lambda,0.7102937534539687,48,1136.0,4.414690692749576,3.782642430451408e-20
Pillai's trace,0.3062334094679086,48.0,1138.0,4.286472404197994,2.8717726379594804e-19
Hotelling-Lawley trace,0.3846001492984519,48,1046.8776415340449,4.543757349630236,7.407335015746805e-21
Roy's greatest root,0.3093951271508554,24,569,7.33524280620153,2.2458274403863627e-21
Wilks' lambda,0.7135045703645926,48,1136.0,4.351435483334108,1.033115200531455e-19
Pillai's trace,0.3039388046918729,48.0,1138.0,4.248598172344077,5.231756816373758e-19
Hotelling-Lawley trace,0.3770852574097168,48,1046.8776415340449,4.45497463513207,2.989777763439338e-20
Roy's greatest root,0.293903256931322,24,569,6.967956383080092,4.3307293246050186e-20
Wilks' lambda,0.7038067904211647,48,1136.0,4.543806315104014,4.841858971395129e-21
Pillai's trace,0.3177612432256511,48.0,1138.0,4.478311681068159,1.363011581372586e-20
Hotelling-Lawley trace,0.3901996679623979,48,1046.8776415340449,4.6099113907300815,2.6149363381430444e-21
Roy's greatest root,0.28123416777579446,24,569,6.667593394351127,4.916854446074669e-19
