Test,Value,Num DF,Den DF,F Value,Pr > F
Roy's greatest root,0.1548683511006243,9,584,10.049235226973844,1.9742702178875336e-14
Wilks' lambda,0.8577348694784264,18,1166.0,5.166068746049795,1.3990974498975043e-11
Pillai's trace,0.14543889088264125,18.0,1168.0,5.0887339242752,2.3870531516606256e-11
Hotelling-Lawley trace,0.16216126347420745,18,967.8958810068611,5.245043258569799,1.027285634268994e-11
Roy's greatest root,0.13468943750045864,9,584,8.739847944474205,2.241722588687865e-12
Wilks' lambda,0.8701459439281509,18,1166.0,4.6654653919481435,4.4109659794604106e-10
Pillai's trace,0.131895228803759,18.0,1168.0,4.5813998116075885,7.822950777174724e-10
Hotelling-Lawley trace,0.14688671967250244,18,967.8958810068611,4.750994055459065,2.9700536979623206e-10
Roy's greatest root,0.12865336852042478,9,584,8.348174135103118,9.27398971820941e-12
Wilks' lambda,0.8407949069140509,18,1166.0,5.867153854119798,1.0423305033014651e-13
Pillai's trace,0.16384741129295455,18.0,1168.0,5.790301160976606,1.78420553983577e-13
Hotelling-Lawley trace,0.18382934245669008,18,967.8958810068611,5.945888880750741,8.231101455973263e-14
Roy's greatest root,0.1460160800745821,9,584,9.47482119595066,1.5686581599627437e-13
Wilks' lambda,0.8788787380800055,18,1166.0,4.3195999856292575,4.6359595802559925e-09
Pillai's trace,0.12379604158419463,18.0,1168.0,4.281510840657122,5.9878860278692e-09
Hotelling-Lawley trace,0.13476999399775244,18,967.8958810068611,4.359083256574624,4.146253128787643e-09
Roy's greatest root,0.10608044495177983,9,584,6.883442205759936,1.8863655764883384e-09
Wilks' lambda,0.851544860045613,18,1166.0,5.4198246761930875,2.393207628303523e-12
Pillai's trace,0.15174221942939708,18.0,1168.0,5.3273867529818935,4.548902233651411e-12
Hotelling-Lawley trace,0.17047611616327626,18,967.8958810068611,5.513983948278585,1.6217131680469423e-12
Roy's greatest root,0.14359377718724572,9,584,9.317640653039055,2.7686182634984914e-13
Wilks' lambda,0.8413123821069673,18,1166.0,5.84542433752757,1.2143607944186433e-13
Pillai's trace,0.16208602927009996,18.0,1168.0,5.722565098937579,2.87052202878505e-13
Hotelling-Lawley trace,0.18457972308343057,18,967.8958810068611,5.970159651484298,6.958276512202905e-14
Roy's greatest root,0.15920773460550866,9,584,10.330813001068561,7.164123011433201e-15
Wilks' lambda,0.8425561433753687,18,1166.0,5.793278943823443,1.7517175349943408e-13
Pillai's trace,0.161990148471886,18.0,1168.0,5.718881613473247,2.9456746807929196e-13
Hotelling-Lawley trace,0.1814686961569742,18,967.8958810068611,5.869534690514909,1.395856357627928e-13
Roy's greatest root,0.14399680568851655,9,584,9.343792724677074,2.5188310657605493e-13
Wilks' lambda,0.865844650080244,18,1166.0,4.837739801778483,1.3526210635991972e-10
Pillai's trace,0.13600706961906453,18.0,1168.0,4.7346465132843925,2.7416837628007947e-10
Hotelling-Lawley trace,0.15280296552988556,18,967.8958810068611,4.942352736228376,8.10775193197928e-11
Roy's greatest root,0.13721725759520917,9,584,8.903875381733572,1.237458112559449e-12
Wilks' lambda,0.8532439230449191,18,1166.0,5.349897671415973,3.896910992361694e-12
Pillai's trace,0.1500411112246206,18.0,1168.0,5.262820192433996,7.1297138013426604e-12
Hotelling-Lawley trace,0.16814774627816242,18,967.8958810068611,5.438673726171714,2.7218026809435733e-12
Roy's greatest root,0.1408044928287019,9,584,9.13664709021799,5.328215792966032e-13
Wilks' lambda,0.8332162938162717,18,1166.0,6.187706084680122,1.0889835309266356e-14
Pillai's trace,0.169819963928668,18.0,1168.0,6.020953432612446,3.520862502158435e-14
Hotelling-Lawley trace,0.19652453949117754,18,967.8958810068611,6.356510111711639,4.7727949903578374e-15
Roy's greatest root,0.17579582743685734,9,584,11.407195913680521,1.510876285015797e-16
Wilks' lambda,0.8501303354035395,18,1166.0,5.4782010004681565,1.5921692217029268e-12
Pillai's trace,0.15196431391087184,18.0,1168.0,5.335825252003939,4.289232038061417e-12
Hotelling-Lawley trace,0.17382630536516888,18,967.8958810068611,5.622344520414328,7.69000537347409e-13
Roy's greatest root,0.15825725268063875,9,584,10.26913728505478,8.944010589414441e-15
Wilks' lambda,0.8503370356777832,18,1166.0,5.469661555472915,1.6900226206924265e-12
Pillai's trace,0.1536159888144119,18.0,1168.0,5.398644469053111,2.76825310484078e-12
Hotelling-Lawley trace,0.1713555140096654,18,967.8958810068611,5.542427731010567,1.333419757820843e-12
Roy's greatest root,0.13756132177180952,9,584,8.92620132385964,1.141347175890988e-12
Wilks' lambda,0.8608237424130494,18,1166.0,5.0404670682859125,3.3402400875593915e-11
Pillai's trace,0.1421160148105845,18.0,1168.0,4.96357704134875,5.672435591388343e-11
Hotelling-Lawley trace,0.1582629447248059,18,967.8958810068611,5.118953648522101,2.4330838269751573e-11
Roy's greatest root,0.13248630942474765,9,584,8.596889411561403,3.763515957328252e-12
Wilks' lambda,0.8470977845811046,18,1166.0,5.603844397431705,6.612844433103696e-13
Pillai's trace,0.15721607095047163,18.0,1168.0,5.535958936170339,1.0609190747295804e-12
Hotelling-Lawley trace,0.17540874571026877,18,967.8958810068611,5.67352794046381,5.403583354315851e-13
Roy's greatest root,0.1386901075053625,9,584,8.999446975903522,8.754700286098975e-13
