Test,Value,Num DF,Den DF,F Value,Pr > F
Pillai's trace,0.21981623687909552,40.0,1146.0,3.5376882527820044,2.514844507413586e-12
Hotelling-Lawley trace,0.260321205020532,40,1039.718978102193,3.7167266546874824,2.9712155530254977e-13
Roy's greatest root,0.21705534370089605,20,573,6.218635597030671,3.2214870836615665e-15
Wilks' lambda,0.7120436173442479,40,1144.0,5.293212475971748,1.066943284590831e-22
Pillai's trace,0.30576099028556347,40.0,1146.0,5.170493844996461,5.808728612499419e-22
Hotelling-Lawley trace,0.37940340794506666,40,1039.718978102193,5.416918529850372,3.2748063457665487e-23
Roy's greatest root,0.2944957730335837,20,573,8.437303897412173,5.833526603063216e-22
Wilks' lambda,0.7134135741948382,40,1144.0,5.260654537279198,1.6767778743667267e-22
Pillai's trace,0.30521697886822724,40.0,1146.0,5.159637744503231,6.752709165174577e-22
Hotelling-Lawley trace,0.37559682410656775,40,1039.718978102193,5.362570165817809,6.889203165854524e-23
Roy's greatest root,0.28347277320866876,20,573,8.12149495242836,5.2030191672440954e-21
Wilks' lambda,0.7312067490489096,40,1144.0,4.84613493011262,5.208837934752784e-20
Pillai's trace,0.2827141961055315,40.0,1146.0,4.71660669415353,3.0827377591034947e-19
Hotelling-Lawley trace,0.3485639405382475,40,1039.718978102193,4.97660914161498,1.3409794382369551e-20
Roy's greatest root,0.28075210295636716,20,573,8.043547749699918,8.941181495369672e-21
Wilks' lambda,0.7436988559550866,40,1144.0,4.564043523347841,2.524697013655754e-18
Pillai's trace,0.2695087899624111,40.0,1146.0,4.461985583998058,1.0152081027103748e-17
Hotelling-Lawley trace,0.3268708781529935,40,1039.718978102193,4.666887222562274,9.037369505841554e-19
Roy's greatest root,0.2580490857362399,20,573,7.393106306343273,8.351574432478575e-19
Wilks' lambda,0.707007088283677,40,1144.0,5.413721320801219,1.9992726553688433e-23
Pillai's trace,0.3122340840651562,40.0,1146.0,5.300205688483679,9.594909962246683e-23
Hotelling-Lawley trace,0.38719801244432606,40,1039.718978102193,5.528205715628648,7.136649371979174e-24
Roy's greatest root,0.2949183595605926,20,573,8.449411001410978,5.365082028819826e-22
Wilks' lambda,0.7781984088407181,40,1144.0,3.820586258374713,5.973769847998794e-14
Pillai's trace,0.22963725951556924,40.0,1146.0,3.716248277638736,2.383915851672483e-13
Hotelling-Lawley trace,0.27495034733075274,40,1039.718978102193,3.9255937085847066,1.8927619028986035e-14
Roy's greatest root,0.23144558417975086,20,573,6.630915986749862,1.7624635861276048e-16
Wilks' lambda,0.7312518636240146,40,1144.0,4.8451031847489,5.283521748965895e-20
Pillai's trace,0.2830578916340054,40.0,1146.0,4.723285983726108,2.8119185300354284e-19
Hotelling-Lawley trace,0.3479490361323567,40,1039.718978102193,4.9678298660454825,1.51139641289636e-20
Roy's greatest root,0.2774070406551279,20,573,7.947711714769413,1.7410174027201197e-20
Wilks' lambda,0.7478570221657542,40,1144.0,4.47171716762264,8.941184324224538e-18
Pillai's trace,0.26321070124056417,40.0,1146.0,4.34191216857945,5.2313946245026304e-17
Hotelling-Lawley trace,0.32235473798158115,40,1039.718978102193,4.602408193471773,2.16482902864593e-18
Roy's greatest root,0.2669076568872427,20,573,7.646904369819503,1.4167006920742684e-19
Wilks' lambda,0.7478910514535869,40,1144.0,4.470964772081659,9.033684211035737e-18
Pillai's trace,0.26734181324109796,40.0,1146.0,4.420573548718786,1.7882363843002812e-17
Hotelling-Lawley trace,0.3167253885326485,40,1039.718978102193,4.52203535890477,6.420519700696886e-18
Roy's greatest root,0.2269993020986288,20,573,6.503530005125715,4.32299811540024e-16
Wilks' lambda,0.7840900826878039,40,1144.0,3.6985520079416254,3.026006656970596e-13
Pillai's trace,0.22603658848581332,40.0,1146.0,3.6505534545331644,5.689274102420901e-13
Hotelling-Lawley trace,0.2624484745849214,40,1039.718978102193,3.7470986694876123,1.9944467472005634e-13
Roy's greatest root,0.1968337793631985,20,573,5.639287778755637,1.9198528526338004e-13
Wilks' lambda,0.7214399790596191,40,1144.0,5.071768776015896,2.301470026911168e-21
Pillai's trace,0.29667710551631066,40.0,1146.0,4.990127885070644,7.068659430385814e-21
Hotelling-Lawley trace,0.3610043024007799,40,1039.718978102193,5.154225961285068,1.188628510050182e-21
Roy's greatest root,0.266923405402433,20,573,7.647355564779704,1.4122453768855948e-19
Wilks' lambda,0.7447580561049254,40,1144.0,4.540452064306171,3.488718112524644e-18
Pillai's trace,0.2703236006387847,40.0,1146.0,4.47758387705434,8.20106931905599e-18
Hotelling-Lawley trace,0.3224675251012382,40,1039.718978102193,4.604018507521686,2.1181424781602244e-18
Roy's greatest root,0.2370355776349834,20,573,6.791069299242274,5.709865186261521e-17
Wilks' lambda,0.7721435884694486,40,1144.0,3.947452234925425,1.093947632671541e-14
Pillai's trace,0.23354454496231852,40.0,1146.0,3.7878403296774295,9.20451264308177e-14
Hotelling-Lawley trace,0.28772922733085,40,1039.718978102193,4.108043708805273,1.6723103090430868e-15
Roy's greatest root,0.25932174314141077,20,573,7.429567941001418,6.470755895898063e-19
Wilks' lambda,0.7321994549779396,40,1144.0,4.823454335623596,7.122373312124256e-20
Pillai's trace,0.2838905746528991,40.0,1146.0,4.739479221822047,2.2499018055544033e-19
Hotelling-Lawley trace,0.3437731531755994,40,1039.718978102193,4.9082088471161525,3.404467419820443e-20
