dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time
Validation,XGBoost,Original,0.39923954372623577,0.39923954372623577,0.36665546697852314,0.3798469198727817,-0.044731237228896145,0.460678088631265,"{0: {0: 86, 1: 55, 2: 21}, 1: {0: 42, 1: 13, 2: 14}, 2: {0: 9, 1: 17, 2: 6}}",5.47303581237793
grid_Validation,XGBoost,Original,0.49049429657794674,0.49049429657794674,0.46615547106041405,0.4038408943814065,0.001787819524070626,0.5649704077311203,"{0: {0: 118, 1: 76, 2: 31}, 1: {0: 19, 1: 8, 2: 7}, 2: {0: 0, 1: 1, 2: 3}}",1818.696260690689
Validation,XGBoost,Undersampling,0.42016806722689076,0.42016806722689076,0.4146877351894652,0.41334346792705806,0.13405294600763432,0.545198676389683,"{0: {0: 18, 1: 15, 2: 4}, 1: {0: 13, 1: 10, 2: 11}, 2: {0: 12, 1: 14, 2: 22}}",4.379187822341919
grid_Validation,XGBoost,Undersampling,0.3949579831932773,0.3949579831932773,0.3852258852258852,0.38340195228687735,0.09661590894748633,0.6000551504298767,"{0: {0: 20, 1: 14, 2: 6}, 1: {0: 9, 1: 7, 2: 11}, 2: {0: 14, 1: 18, 2: 20}}",1419.7139236927032
Validation,XGBoost,Oversampling,0.5626535626535627,0.5626535626535627,0.5496522020393831,0.5531102171639686,0.345969211232221,0.716806500645803,"{0: {0: 57, 1: 50, 2: 7}, 1: {0: 60, 1: 65, 2: 14}, 2: {0: 16, 1: 31, 2: 107}}",6.993886470794678
grid_Validation,XGBoost,Oversampling,0.5823095823095823,0.5823095823095823,0.5660598615144069,0.5623923913042936,0.38514429731454547,0.7392405097072895,"{0: {0: 71, 1: 55, 2: 6}, 1: {0: 41, 1: 51, 2: 7}, 2: {0: 21, 1: 40, 2: 115}}",2159.4031484127045
