accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time,Dataset,model,sampling
0.4946727549467275,0.4946727549467275,0.44780599126545034,0.4472078717626638,0.570037787051156,0.07917236854379045,0.4012424945831299,0.21238040924072266,Validation,SVM,Original
0.5076219512195121,0.5076219512195121,0.49162171606278954,0.43470878442840555,0.5850867727117921,0.061507838641018546,0.4224669933319092,0.2059931755065918,Validation,SVM,Original
0.6829268292682927,0.6829268292682927,0.698526815336519,0.6569371381877659,0.8820130547340491,0.4539036785127324,0.4012424945831299,0.21238040924072266,Train,SVM,Original
0.6621004566210046,0.6621004566210046,0.7239556897419824,0.6110048794995478,0.8758178492333374,0.42131970636579014,0.4224669933319092,0.2059931755065918,Train,SVM,Original
0.43434343434343436,0.43434343434343436,0.4045203667052407,0.4048104381740502,0.6254293779546305,0.1579676842873654,0.09127473831176758,0.05847501754760742,Validation,SVM,Under
0.4511784511784512,0.4511784511784512,0.4560535185535186,0.44282881421536346,0.6270108492330714,0.181330112873338,0.0930490493774414,0.05836176872253418,Validation,SVM,Under
0.7710437710437711,0.7710437710437711,0.7825346413317802,0.763871727909819,0.7663673774784886,0.6668859288553501,0.09127473831176758,0.05847501754760742,Train,SVM,Under
0.696969696969697,0.696969696969697,0.7287377722160331,0.6884659070509788,0.7817909737101655,0.5678655187803184,0.0930490493774414,0.05836176872253418,Train,SVM,Under
0.5821042281219272,0.5821042281219272,0.5634942908491586,0.5591389558459658,0.770334983742455,0.3824307055370948,0.8310227394104004,0.45993971824645996,Validation,SVM,Over
0.6027531956735497,0.6027531956735497,0.5920964719106463,0.5864964600988902,0.7704916130791296,0.412026814205115,0.816627025604248,0.4927961826324463,Validation,SVM,Over
0.7423795476892822,0.7423795476892822,0.7548446084767221,0.7324874609687616,0.8993235933090267,0.6261368948232932,0.8310227394104004,0.45993971824645996,Train,SVM,Over
0.7295968534906588,0.7295968534906588,0.7344794947750888,0.7185329898640416,0.886603260790746,0.6055813224808665,0.816627025604248,0.4927961826324463,Train,SVM,Over
