dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time,metrics_time
Train,KNN,Original,0.5933333333333334,0.5933333333333334,0.5771211158972844,0.5638633189798079,0.27870756213957876,0.7410543145607216,"{0: {0: 457, 1: 212, 2: 62}, 1: {0: 69, 1: 124, 2: 53}, 2: {0: 15, 1: 16, 2: 42}}",0.5415489673614502,0.010097980499267578
Validation,KNN,Original,0.5171102661596958,0.5171102661596958,0.47426393743323725,0.4714120573685493,0.12000634449294581,0.5795243897841411,"{0: {0: 111, 1: 60, 2: 25}, 1: {0: 22, 1: 17, 2: 8}, 2: {0: 4, 1: 8, 2: 8}}",0.5415489673614502,0.010097980499267578
Train,KNN,Under,0.6252631578947369,0.6252631578947369,0.6296777905372289,0.6214266917293234,0.44293903937955253,0.8125732409815962,"{0: {0: 110, 1: 57, 2: 28}, 1: {0: 27, 1: 74, 2: 20}, 2: {0: 18, 1: 28, 2: 113}}",0.22659564018249512,0.00992584228515625
Validation,KNN,Under,0.3697478991596639,0.3697478991596639,0.36721726333741356,0.36741117499631426,0.05169520443965175,0.5899000550155877,"{0: {0: 18, 1: 15, 2: 14}, 1: {0: 14, 1: 11, 2: 8}, 2: {0: 11, 1: 13, 2: 15}}",0.22659564018249512,0.00992584228515625
Train,KNN,Over,0.8186846957590658,0.8186846957590658,0.857163337300526,0.8194024943930036,0.7469537322752111,0.9627316831052096,"{0: {0: 530, 1: 193, 2: 63}, 1: {0: 15, 1: 339, 2: 24}, 2: {0: 0, 1: 0, 2: 463}}",0.9793686866760254,0.012267351150512695
Validation,KNN,Over,0.5823095823095823,0.5823095823095823,0.5824168137250176,0.5737861682093852,0.3819903708489459,0.6966214987678415,"{0: {0: 80, 1: 66, 2: 18}, 1: {0: 35, 1: 56, 2: 9}, 2: {0: 18, 1: 24, 2: 101}}",0.9793686866760254,0.012267351150512695
