accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,Dataset,model,sampling
0.3904761904761905,0.3904761904761905,0.3455946014769544,0.33864692550731385,0.603083553858936,0.0030837603094601867,3.3924977779388428,Validation,AdaBoost,Original
0.49523809523809526,0.49523809523809526,0.43529028049575996,0.4505904761904762,0.606991004902056,0.09865608609988387,3.4223763942718506,Validation,AdaBoost,Original
0.49523809523809526,0.49523809523809526,0.41097835497835494,0.442399101201279,0.5787258616932621,0.050891618806643626,3.4052717685699463,Validation,AdaBoost,Original
0.4095238095238095,0.4095238095238095,0.3771792870153526,0.38670844757801276,0.5774733026396305,-0.01287880291172648,3.325242280960083,Validation,AdaBoost,Original
0.47619047619047616,0.47619047619047616,0.4582261904761905,0.4641521020936759,0.5534035890823268,0.07754035086653924,3.40085768699646,Validation,AdaBoost,Original
0.5333333333333333,0.5333333333333333,0.49357686453576866,0.5038881964999741,0.644498283310526,0.11143146269725915,3.2973508834838867,Validation,AdaBoost,Original
0.42857142857142855,0.42857142857142855,0.402742019884877,0.4126068134763786,0.512690300678322,-0.03216725717872801,3.239452362060547,Validation,AdaBoost,Original
0.5428571428571428,0.5428571428571428,0.5055327494982667,0.5135973737650624,0.61516704684037,0.13412509072658566,3.2401211261749268,Validation,AdaBoost,Original
0.47619047619047616,0.47619047619047616,0.43723356009070297,0.45000481000480996,0.5425257100306733,-0.005535765124607038,3.2867729663848877,Validation,AdaBoost,Original
0.45714285714285713,0.45714285714285713,0.5533477633477634,0.4187397624500754,0.6107173673279354,0.08535877660125621,3.2214717864990234,Validation,AdaBoost,Original
0.5724867724867725,0.5724867724867725,0.5597834927118268,0.5479315874491071,0.7482298459641913,0.22702670874640876,3.3924977779388428,Train,AdaBoost,Original
0.5587301587301587,0.5587301587301587,0.5435924966900656,0.5209466079818998,0.7444924679443944,0.20128501433272394,3.4223763942718506,Train,AdaBoost,Original
0.5788359788359788,0.5788359788359788,0.5649652801542484,0.551402833831765,0.7507407920141946,0.2543307629418689,3.4052717685699463,Train,AdaBoost,Original
0.5417989417989418,0.5417989417989418,0.5285202830648327,0.5143942358132897,0.7362140526362015,0.17702626401680177,3.325242280960083,Train,AdaBoost,Original
0.5544973544973545,0.5544973544973545,0.538111040506225,0.5381555021473833,0.733987659257281,0.22729003383755683,3.40085768699646,Train,AdaBoost,Original
0.5544973544973545,0.5544973544973545,0.5499609204673236,0.5234788821171442,0.7321627303497311,0.20317199612115172,3.2973508834838867,Train,AdaBoost,Original
0.5661375661375662,0.5661375661375662,0.5607875672695951,0.5492100164261773,0.7426522323590513,0.23926573281550387,3.239452362060547,Train,AdaBoost,Original
0.5407407407407407,0.5407407407407407,0.5319234752607268,0.5204663525350721,0.7341302957215846,0.1905065205606329,3.2401211261749268,Train,AdaBoost,Original
0.5619047619047619,0.5619047619047619,0.5535611464268834,0.5436876749482222,0.7435273219933839,0.2320876367288892,3.2867729663848877,Train,AdaBoost,Original
0.5798941798941799,0.5798941798941799,0.5764056169720247,0.557659405662198,0.7441820017222293,0.24803345791370338,3.2214717864990234,Train,AdaBoost,Original
0.375,0.375,0.4322916666666667,0.36373069498069494,0.6061459828853883,0.09563760934043732,1.6617658138275146,Validation,AdaBoost,Undersampling
0.3958333333333333,0.3958333333333333,0.39265046296296297,0.39338235294117646,0.567789485585901,0.09162303664921466,1.6532964706420898,Validation,AdaBoost,Undersampling
0.4166666666666667,0.4166666666666667,0.4669117647058824,0.43092532467532463,0.6303513870788177,0.1372825145362774,1.6628046035766602,Validation,AdaBoost,Undersampling
0.3541666666666667,0.3541666666666667,0.39166666666666666,0.367938112745098,0.5668883245522839,0.03947453849908345,1.6379990577697754,Validation,AdaBoost,Undersampling
0.375,0.375,0.36272653000594174,0.34975168140490726,0.5991325777409902,0.08414313437467857,1.6610682010650635,Validation,AdaBoost,Undersampling
0.3617021276595745,0.3617021276595745,0.35253888789558374,0.3545212765957447,0.5814825181204492,0.046384763493003835,1.6660780906677246,Validation,AdaBoost,Undersampling
0.425531914893617,0.425531914893617,0.42223910840932116,0.4201018675721562,0.6324786324786326,0.13080490030634884,1.650989294052124,Validation,AdaBoost,Undersampling
0.3617021276595745,0.3617021276595745,0.3399278337688192,0.33998627316403573,0.5722887527959685,0.04625588496500668,1.6633989810943604,Validation,AdaBoost,Undersampling
0.3829787234042553,0.3829787234042553,0.47972664243002167,0.40265275504637205,0.6370836851487006,0.0980351395831235,1.6440300941467285,Validation,AdaBoost,Undersampling
0.3191489361702128,0.3191489361702128,0.3378330055426426,0.32082166014667846,0.6534278221778221,-0.0193796176930748,1.646979808807373,Validation,AdaBoost,Undersampling
0.6885245901639344,0.6885245901639344,0.6963728187194813,0.6831495521202997,0.8684899070218378,0.5375048833510003,1.6617658138275146,Train,AdaBoost,Undersampling
0.6697892271662763,0.6697892271662763,0.6662182960686115,0.6654474530582135,0.8706820610968157,0.5058631085797585,1.6532964706420898,Train,AdaBoost,Undersampling
0.6838407494145199,0.6838407494145199,0.6904639091428707,0.678663074709835,0.8513199766457743,0.5296375152045039,1.6628046035766602,Train,AdaBoost,Undersampling
0.6978922716627635,0.6978922716627635,0.7001611889960031,0.6986784237884507,0.8681165411318283,0.5471036952390863,1.6379990577697754,Train,AdaBoost,Undersampling
0.6744730679156908,0.6744730679156908,0.6808521738420081,0.6706434733155661,0.8607063757740073,0.5148282767813706,1.6610682010650635,Train,AdaBoost,Undersampling
0.6869158878504673,0.6869158878504673,0.6822954782383472,0.6817065141123613,0.8528752443080911,0.5321499775295974,1.6660780906677246,Train,AdaBoost,Undersampling
0.6635514018691588,0.6635514018691588,0.6619765206214253,0.6597139572296302,0.8467044992762119,0.49712909862584503,1.650989294052124,Train,AdaBoost,Undersampling
0.6915887850467289,0.6915887850467289,0.6962879260494523,0.6904304577893743,0.8622939068579415,0.5389747314274282,1.6633989810943604,Train,AdaBoost,Undersampling
0.6518691588785047,0.6518691588785047,0.6455056762918225,0.6451915630842128,0.8369049365638275,0.4798997629370931,1.6440300941467285,Train,AdaBoost,Undersampling
0.6705607476635514,0.6705607476635514,0.6754666877637856,0.6713179540197899,0.8629164454318504,0.5071117098776725,1.646979808807373,Train,AdaBoost,Undersampling
0.5214723926380368,0.5214723926380368,0.533185735719554,0.5064574641622295,0.666799244772018,0.28736027494722344,5.9977335929870605,Validation,AdaBoost,Oversampling
0.5214723926380368,0.5214723926380368,0.5040544289893469,0.5073655320831487,0.6940376129022546,0.27695534166609315,5.860625982284546,Validation,AdaBoost,Oversampling
0.5153374233128835,0.5153374233128835,0.5073055694399784,0.5003332035448266,0.7074252381455771,0.281441462792769,5.931297302246094,Validation,AdaBoost,Oversampling
0.44171779141104295,0.44171779141104295,0.44337271031521275,0.43857861377813606,0.6327181335044538,0.16540808956900885,5.934840202331543,Validation,AdaBoost,Oversampling
0.4662576687116564,0.4662576687116564,0.4662394224061825,0.4660735642336847,0.6840570853887433,0.19566466275288685,5.832412242889404,Validation,AdaBoost,Oversampling
0.44785276073619634,0.44785276073619634,0.4375115415392822,0.43631155256922133,0.6274537073396337,0.17788336961310797,5.853857755661011,Validation,AdaBoost,Oversampling
0.5030674846625767,0.5030674846625767,0.4997554136354196,0.4949430599363011,0.7230428274981597,0.2610284479291443,5.871401786804199,Validation,AdaBoost,Oversampling
0.5370370370370371,0.5370370370370371,0.5286510708867013,0.52988965189438,0.6804782704801445,0.30448905121701303,5.839378356933594,Validation,AdaBoost,Oversampling
0.5061728395061729,0.5061728395061729,0.5319059904535983,0.5082004197048445,0.711830717968505,0.27007556303865987,5.797931671142578,Validation,AdaBoost,Oversampling
0.5123456790123457,0.5123456790123457,0.5004572473708276,0.5051940713424343,0.7237225207392699,0.26729331578318993,5.781513452529907,Validation,AdaBoost,Oversampling
0.5758196721311475,0.5758196721311475,0.5749195617192678,0.5669495287882477,0.7610978209501961,0.3688729375408192,5.9977335929870605,Train,AdaBoost,Oversampling
0.5997267759562842,0.5997267759562842,0.5935812112476009,0.589532585759922,0.7707672595551746,0.40448664853266497,5.860625982284546,Train,AdaBoost,Oversampling
0.6031420765027322,0.6031420765027322,0.6005558352529143,0.597627902355338,0.7822533524460251,0.40691748510366577,5.931297302246094,Train,AdaBoost,Oversampling
0.6004098360655737,0.6004098360655737,0.5943002038585425,0.587124675272234,0.7716299118856353,0.40663680364040183,5.934840202331543,Train,AdaBoost,Oversampling
0.5846994535519126,0.5846994535519126,0.5813487430225227,0.5812218149066055,0.7684603048463708,0.37813133339355703,5.832412242889404,Train,AdaBoost,Oversampling
0.5942622950819673,0.5942622950819673,0.5912852316374507,0.5919292872467709,0.7849853667147612,0.39147116913275787,5.853857755661011,Train,AdaBoost,Oversampling
0.6099726775956285,0.6099726775956285,0.604235430111803,0.5974767864870606,0.7793919073731037,0.42045334972236037,5.871401786804199,Train,AdaBoost,Oversampling
