dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time
Validation,LGBM,Original,0.4144486692015209,0.4144486692015209,0.3899180136830283,0.40046715735354166,-0.005197964323502755,0.4611112494865218,"{0: {0: 87, 1: 48, 2: 20}, 1: {0: 40, 1: 17, 2: 16}, 2: {0: 10, 1: 20, 2: 5}}",2.5288782119750977
grid_Validation,LGBM,Original,0.467680608365019,0.467680608365019,0.418209160790592,0.42459316213823817,0.024577981456428463,0.5248108944225491,"{0: {0: 103, 1: 63, 2: 24}, 1: {0: 31, 1: 14, 2: 11}, 2: {0: 3, 1: 8, 2: 6}}",4161.441565036774
Validation,LGBM,Undersampling,0.36134453781512604,0.36134453781512604,0.33191257455363093,0.34161751381313626,0.042527072091361084,0.5434085123137831,"{0: {0: 19, 1: 19, 2: 7}, 1: {0: 11, 1: 4, 2: 10}, 2: {0: 13, 1: 16, 2: 20}}",1.1593732833862305
grid_Validation,LGBM,Undersampling,0.35294117647058826,0.35294117647058826,0.35431315383296175,0.34925907702925485,0.03363288817727676,0.5436551385637696,"{0: {0: 16, 1: 13, 2: 6}, 1: {0: 14, 1: 8, 2: 13}, 2: {0: 13, 1: 18, 2: 18}}",1903.584133386612
Validation,LGBM,Oversampling,0.5798525798525799,0.5798525798525799,0.5672668539626164,0.5709620227868403,0.3723877577833761,0.7269773174062611,"{0: {0: 65, 1: 55, 2: 7}, 1: {0: 52, 1: 63, 2: 13}, 2: {0: 16, 1: 28, 2: 108}}",3.148959159851074
grid_Validation,LGBM,Oversampling,0.5823095823095823,0.5823095823095823,0.5682940095164241,0.5660486144143256,0.3828364261832265,0.750426469968865,"{0: {0: 73, 1: 58, 2: 7}, 1: {0: 39, 1: 53, 2: 10}, 2: {0: 21, 1: 35, 2: 111}}",4771.846638917923
