accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,Dataset,model,sampling
0.3142857142857143,0.3142857142857143,0.27079521463757916,0.28314436885865457,0.4669791969279662,-0.1054208226023002,2.440523862838745,Validation,LGBM,Original
0.3523809523809524,0.3523809523809524,0.3161019246408241,0.33188450578501044,0.4881526704302985,-0.1262506290896011,2.429443597793579,Validation,LGBM,Original
0.3333333333333333,0.3333333333333333,0.30568356374807987,0.31880548829701366,0.5085893931103364,-0.16704140601048054,2.4032938480377197,Validation,LGBM,Original
0.34285714285714286,0.34285714285714286,0.31454246902522764,0.32128265804711165,0.4994199002174604,-0.12697693457960713,2.384420156478882,Validation,LGBM,Original
0.3333333333333333,0.3333333333333333,0.33993815708101427,0.33405085242775384,0.4377842232397741,-0.11529629144719616,2.4105281829833984,Validation,LGBM,Original
0.37142857142857144,0.37142857142857144,0.3305899329428741,0.34735018675905377,0.46001119631458715,-0.13519827451524707,2.411799430847168,Validation,LGBM,Original
0.37142857142857144,0.37142857142857144,0.36428088476770015,0.3677145244062537,0.48601079803017094,-0.08558197257138124,2.4106521606445312,Validation,LGBM,Original
0.47619047619047616,0.47619047619047616,0.45356515465211117,0.461769696969697,0.5562657083497823,0.06491766990492877,2.373255729675293,Validation,LGBM,Original
0.38095238095238093,0.38095238095238093,0.36841269841269847,0.37443213068075387,0.47791661788237133,-0.11370669364192969,2.413844585418701,Validation,LGBM,Original
0.3333333333333333,0.3333333333333333,0.32568027210884354,0.32649418857847695,0.5009395139446696,-0.08443438881586213,2.422549247741699,Validation,LGBM,Original
0.7555555555555555,0.7555555555555555,0.753618079976229,0.7534644674182667,0.931344471476085,0.5868189638529964,2.440523862838745,Train,LGBM,Original
0.7396825396825397,0.7396825396825397,0.7379444578413874,0.7385875581322775,0.9250134146944671,0.5635499663368781,2.429443597793579,Train,LGBM,Original
0.744973544973545,0.744973544973545,0.7431585258706741,0.7432659285277178,0.9274758925612092,0.5751040830385095,2.4032938480377197,Train,LGBM,Original
0.746031746031746,0.746031746031746,0.7444211772102928,0.7405045673160849,0.9275818143417864,0.573670969602441,2.384420156478882,Train,LGBM,Original
0.7608465608465609,0.7608465608465609,0.7604480380846295,0.7575429849191394,0.9349957659216493,0.6066644264888095,2.4105281829833984,Train,LGBM,Original
0.7470899470899471,0.7470899470899471,0.7442885403018293,0.7439459579665538,0.9298306805555475,0.5793205844038107,2.411799430847168,Train,LGBM,Original
0.7396825396825397,0.7396825396825397,0.7396507058915155,0.7385410368404913,0.9237960053875747,0.5717823299255784,2.4106521606445312,Train,LGBM,Original
0.7322751322751323,0.7322751322751323,0.7295572316684701,0.7281598845474564,0.9207111887605111,0.5531592844098748,2.373255729675293,Train,LGBM,Original
0.7492063492063492,0.7492063492063492,0.7470337439908257,0.7463209154221668,0.93053431121066,0.581890510388872,2.413844585418701,Train,LGBM,Original
0.7513227513227513,0.7513227513227513,0.748672987951242,0.7471598111941972,0.9299840317217049,0.5801939499407616,2.422549247741699,Train,LGBM,Original
0.3125,0.3125,0.3418650793650794,0.3186734068627451,0.48821818130799793,-0.015915805264287094,0.8379514217376709,Validation,LGBM,Undersampling
0.3958333333333333,0.3958333333333333,0.3931277056277056,0.3824404761904762,0.5600702549538333,0.10639652599734876,0.9811127185821533,Validation,LGBM,Undersampling
0.4583333333333333,0.4583333333333333,0.4962622549019608,0.468469416386083,0.5641619591272369,0.1940642489513248,1.0727777481079102,Validation,LGBM,Undersampling
0.25,0.25,0.27110745614035087,0.2547043010752688,0.4456062828199883,-0.1119205298013245,0.9656383991241455,Validation,LGBM,Undersampling
0.375,0.375,0.37663690476190476,0.3643979421579533,0.5157770686782109,0.0736105993473278,0.8717272281646729,Validation,LGBM,Undersampling
0.3617021276595745,0.3617021276595745,0.34684228301249576,0.35106382978723405,0.5421547162926473,0.04781420765027322,0.8236408233642578,Validation,LGBM,Undersampling
0.44680851063829785,0.44680851063829785,0.4498360104280549,0.43586626139817625,0.5115635997988939,0.16835660340569722,0.8112964630126953,Validation,LGBM,Undersampling
0.2978723404255319,0.2978723404255319,0.27347947560713515,0.27884054267032987,0.43516772441857327,-0.052631780879067246,0.8381068706512451,Validation,LGBM,Undersampling
0.40425531914893614,0.40425531914893614,0.41211739455020535,0.39523304423784866,0.5502454517160399,0.1275128929901979,0.8355038166046143,Validation,LGBM,Undersampling
0.2978723404255319,0.2978723404255319,0.30658561296859166,0.2993396918561996,0.47815702815702815,-0.06584203855460337,0.8956668376922607,Validation,LGBM,Undersampling
0.8665105386416861,0.8665105386416861,0.8683366805099005,0.8656648207782254,0.9823830106264607,0.8011157704396186,0.8379514217376709,Train,LGBM,Undersampling
0.8548009367681498,0.8548009367681498,0.8566129928773495,0.8536388423114416,0.9788107350516074,0.7838995276378098,0.9811127185821533,Train,LGBM,Undersampling
0.8594847775175644,0.8594847775175644,0.8624395278208329,0.8591244820753017,0.9800857316133046,0.7903240027413082,1.0727777481079102,Train,LGBM,Undersampling
0.8501170960187353,0.8501170960187353,0.8502670062204771,0.850163838893347,0.9776436023107684,0.7751888237214782,0.9656383991241455,Train,LGBM,Undersampling
0.8594847775175644,0.8594847775175644,0.8599086238459804,0.8592931349911785,0.9801346074751236,0.789599743872166,0.8717272281646729,Train,LGBM,Undersampling
0.8551401869158879,0.8551401869158879,0.8552691352993717,0.8547263325522478,0.9791264611234612,0.7830483704434298,0.8236408233642578,Train,LGBM,Undersampling
0.8551401869158879,0.8551401869158879,0.8552594601660022,0.8544622355837309,0.9787780196709525,0.7832993535002416,0.8112964630126953,Train,LGBM,Undersampling
0.8598130841121495,0.8598130841121495,0.8597209891247031,0.8593379729163484,0.9804365158956162,0.7898787680074325,0.8381068706512451,Train,LGBM,Undersampling
0.8481308411214953,0.8481308411214953,0.8480826864143227,0.84797613748865,0.9772106015723973,0.7722816259634122,0.8355038166046143,Train,LGBM,Undersampling
0.8574766355140186,0.8574766355140186,0.8571611355605037,0.8572686671808637,0.978865030460541,0.786262355613735,0.8956668376922607,Train,LGBM,Undersampling
0.5214723926380368,0.5214723926380368,0.49663957918484325,0.5046318900846732,0.6477149042388465,0.2819014596179579,2.6289827823638916,Validation,LGBM,Oversampling
0.5337423312883436,0.5337423312883436,0.5420735811681443,0.5373885866419724,0.6742804848791278,0.2991166237549027,2.60040545463562,Validation,LGBM,Oversampling
0.49693251533742333,0.49693251533742333,0.4841077551281079,0.4894570153772608,0.6791923116075659,0.2462965198840503,2.6445558071136475,Validation,LGBM,Oversampling
0.49079754601226994,0.49079754601226994,0.49703146645557095,0.49193840069890193,0.6423650488728838,0.23811709915661333,2.6091108322143555,Validation,LGBM,Oversampling
0.5337423312883436,0.5337423312883436,0.5381787410812162,0.5354092557268306,0.6822708372923424,0.2996830907464727,2.6369524002075195,Validation,LGBM,Oversampling
0.4785276073619632,0.4785276073619632,0.4494622540971802,0.4556673849567874,0.6600030978123337,0.22547488099779428,2.609095335006714,Validation,LGBM,Oversampling
0.4662576687116564,0.4662576687116564,0.46556130164146736,0.4658319720689751,0.6654896797758286,0.19866613946839193,2.7566134929656982,Validation,LGBM,Oversampling
0.5493827160493827,0.5493827160493827,0.5451053854400849,0.5449924990149533,0.7073266251489639,0.31727141694897165,2.617792844772339,Validation,LGBM,Oversampling
0.5123456790123457,0.5123456790123457,0.5413435855346048,0.5168188514137569,0.6663853001707042,0.28135022255521364,2.6056454181671143,Validation,LGBM,Oversampling
0.5802469135802469,0.5802469135802469,0.5838405421738756,0.5816669644820667,0.7385783347014119,0.37075375555433676,2.6721017360687256,Validation,LGBM,Oversampling
0.8326502732240437,0.8326502732240437,0.8325009525246735,0.8305703157495614,0.9687233843554056,0.7507105916390365,2.6289827823638916,Train,LGBM,Oversampling
0.828551912568306,0.828551912568306,0.8277191002748262,0.8258988636317812,0.9672322806522548,0.7448766876889682,2.60040545463562,Train,LGBM,Oversampling
0.828551912568306,0.828551912568306,0.8289201569615502,0.8257726254038631,0.96795477676436,0.7453461158653263,2.6445558071136475,Train,LGBM,Oversampling
0.8340163934426229,0.8340163934426229,0.8328361114859073,0.8314082257950887,0.9688607911489798,0.7526628290939406,2.6091108322143555,Train,LGBM,Oversampling
0.8306010928961749,0.8306010928961749,0.8286920108572214,0.8283331533213799,0.9674233734109592,0.7470862817169803,2.6369524002075195,Train,LGBM,Oversampling
0.8258196721311475,0.8258196721311475,0.824798377793037,0.822777832295828,0.9658228612363818,0.7408151854483346,2.609095335006714,Train,LGBM,Oversampling
0.8360655737704918,0.8360655737704918,0.834978625923828,0.8336298922963762,0.9694996962712241,0.7556527537725211,2.7566134929656982,Train,LGBM,Oversampling
0.8238907849829351,0.8238907849829351,0.8229291123451586,0.8208918259088269,0.9651859245335586,0.7380774334314041,2.617792844772339,Train,LGBM,Oversampling
0.8334470989761092,0.8334470989761092,0.8318584289347901,0.8308561669766423,0.9690355805341078,0.7515522836692322,2.6056454181671143,Train,LGBM,Oversampling
0.8273037542662116,0.8273037542662116,0.8270218920533672,0.8251050262257772,0.9670838968290029,0.7426960047196975,2.6721017360687256,Train,LGBM,Oversampling
