accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time,Dataset,model,sampling
0.4855403348554033,0.4855403348554033,0.44288770182040205,0.446851017274039,0.579756025353762,0.0762438309637016,0.005518913269042969,0.03694295883178711,Validation,KNN,Original
0.45884146341463417,0.45884146341463417,0.45147508542584475,0.4272163369035465,0.5470283688679065,0.012240336332034115,0.0057086944580078125,0.03478217124938965,Validation,KNN,Original
0.6417682926829268,0.6417682926829268,0.6443566521355258,0.6160036782553794,0.8196458271763712,0.37347554609520117,0.005518913269042969,0.03694295883178711,Train,KNN,Original
0.6407914764079148,0.6407914764079148,0.6543636097993832,0.6050152554645281,0.800231300267142,0.3629707293778344,0.0057086944580078125,0.03478217124938965,Train,KNN,Original
0.43097643097643096,0.43097643097643096,0.4269277737172488,0.4230411512724935,0.6154899159949664,0.14848059550736922,0.0034935474395751953,0.026027202606201172,Validation,KNN,Under
0.4074074074074074,0.4074074074074074,0.39991443042847946,0.39817653818910625,0.6121824303642486,0.11282990952247782,0.0038390159606933594,0.02201104164123535,Validation,KNN,Under
0.6498316498316499,0.6498316498316499,0.6500932687040157,0.6490178446608228,0.8213617658062103,0.475483837698679,0.0034935474395751953,0.026027202606201172,Train,KNN,Under
0.6127946127946128,0.6127946127946128,0.6316555664737782,0.6081536782781597,0.804467231234908,0.4299960219258194,0.0038390159606933594,0.02201104164123535,Train,KNN,Under
0.512291052114061,0.512291052114061,0.5095532235000925,0.48725472888600546,0.6825456908078884,0.2811509154014211,0.008016824722290039,0.04951763153076172,Validation,KNN,Over
0.5211406096361848,0.5211406096361848,0.5168734248875123,0.4960399311856895,0.7013187319985033,0.29405223662244434,0.0077817440032958984,0.0557553768157959,Validation,KNN,Over
0.6568338249754179,0.6568338249754179,0.6673417749422819,0.645173966354885,0.8687678202127259,0.496833760560652,0.008016824722290039,0.04951763153076172,Train,KNN,Over
0.6568338249754179,0.6568338249754179,0.6658103213776748,0.644013032573976,0.8587594956535359,0.49763637597383514,0.0077817440032958984,0.0557553768157959,Train,KNN,Over
