dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,KNN,Original,1460.5,2632788.0,1622.586823562918,-0.15716772151898728,0.0018007755279541016
grid_Validation,KNN,Original,1407.142857142857,2458212.2448979593,1567.8686950436759,-0.08043787135107205,0.3740217685699463
