dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,AdaBoost,Original,1526.3154274025876,2506079.612446414,1583.0602049342324,-0.10147662291069515,3.090657949447632
grid_Validation,AdaBoost,Original,1479.2471744829024,2444116.259357034,1563.3669624745926,-0.07424237840938575,110.25122499465942
