dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,GradientBoosting,Original,1771.221093982656,3801113.7060198826,1949.6445076012915,-0.6706723391437599,10.713339805603027
grid_Validation,GradientBoosting,Original,1635.2576511900795,3139324.2612768244,1771.813833696087,-0.3798014509831331,705.6452355384827
