neg_mean_squared_error,neg_mean_absolute_error,r2,explained_variance,fit_time,Dataset,model,sampling
-4165621.438454352,-1729.1833842098533,-0.8682060475099225,-0.8538441357199644,0.45352792739868164,Validation,LGBM,Original
-4222245.118978837,-1755.9242111368833,-0.6778054592416447,-0.5743979931803216,0.3839449882507324,Validation,LGBM,Original
-4911383.681441529,-1943.4188859675587,-0.9656128935187922,-0.8757895266894125,0.5621562004089355,Validation,LGBM,Original
-3991805.1518286625,-1781.077965751397,-1.1973636969570016,-1.0166294432125076,0.46573710441589355,Validation,LGBM,Original
-4450151.275982994,-1851.501712472012,-1.1229842089938957,-1.106411525258577,0.38572025299072266,Validation,LGBM,Original
-4266624.8717637,-1781.2420648983991,-0.9678756887803099,-0.9620922777281515,0.39009761810302734,Validation,LGBM,Original
-5214000.448131853,-2050.9165407331047,-1.154760716226797,-1.1391360989202233,0.3801097869873047,Validation,LGBM,Original
-4868704.208707041,-1939.4249540236488,-1.009279782646002,-1.003150468502057,0.383317232131958,Validation,LGBM,Original
-4437047.529672665,-1841.8972729595914,-1.1756046890644716,-1.1159774825982738,0.467240571975708,Validation,LGBM,Original
-4299854.55864012,-1857.5267304724598,-0.907335355952644,-0.9069419794286879,0.39599180221557617,Validation,LGBM,Original
-933904.7793666814,-635.1313580625296,0.5946228354345637,0.5946228354345637,0.45352792739868164,Train,LGBM,Original
-917544.4868669821,-623.0257240766097,0.593239475292704,0.5932394752927042,0.3839449882507324,Train,LGBM,Original
-903489.5539612158,-613.5212049532523,0.600565303520762,0.6005653035207619,0.5621562004089355,Train,LGBM,Original
-918960.6222718356,-616.0328667588736,0.6066622501703015,0.6066622501703016,0.46573710441589355,Train,LGBM,Original
-934052.0068017715,-628.8397848331385,0.5961877189143832,0.5961877189143833,0.38572025299072266,Train,LGBM,Original
-944861.2910708573,-640.1568226665513,0.5906589977014476,0.5906589977014478,0.39009761810302734,Train,LGBM,Original
-862506.1329567224,-589.5588986856668,0.6220562114966756,0.6220562114966757,0.3801097869873047,Train,LGBM,Original
-908423.0296286211,-610.7032518212015,0.6013548632586481,0.6013548632586481,0.383317232131958,Train,LGBM,Original
-914551.0477972022,-621.9986988598264,0.6057430212048726,0.6057430212048726,0.467240571975708,Train,LGBM,Original
-924796.490359423,-625.4406795146051,0.598155135834906,0.598155135834906,0.39599180221557617,Train,LGBM,Original
