dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,LGBM,Original,1949.9603137635813,4740769.088673815,2177.3307256073467,-1.0836713645718246,0.5828430652618408
grid_Validation,LGBM,Original,1483.8362343540862,2440200.968521995,1562.1142623130982,-0.07252152273294432,841.1163928508759
