dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,XGBoost,Original,1982.40916273329,4876051.395165636,2208.1782978658302,-1.1431308874673154,2.081234931945801
grid_Validation,XGBoost,Original,1499.9741516113281,2479650.199104867,1574.690508990534,-0.0898603195784402,518.3973505496979
