dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,RandomForest,Original,1776.0165476190475,3740699.5599618233,1934.0888190467942,-0.6441190049058645,1.7230157852172852
grid_Validation,RandomForest,Original,1575.4712451967403,2760368.041177771,1661.4355362690937,-0.21324193089740295,778.2001583576202
