dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,LinearRegression,Original,253173043502529.94,2.31540833889373e+29,481186901203028.4,-1.0176724414968926e+23,0.04990077018737793
grid_Validation,LinearRegression,Original,141792501727473.28,6.306221308274395e+28,251121908806746.6,-2.771721742385019e+22,0.3237917423248291
