dataset,model,sampling,MAE,MSE,RMSE,R2,fit_time
Validation,SVM,Original,1319.5311929051222,4007610.051292383,2001.9016087940943,-0.7614319845694371,0.044059038162231445
grid_Validation,SVM,Original,1294.2863210452301,3570570.0719842073,1889.5952137916224,-0.569343386069008,1.8372151851654053
