iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
3,XGBoost,48,base,0.4785,0.4534,0.4848,0.4601,0.4757,0.4523,0.4848,0.4601
3,XGBoost,48,undersampling,0.4864,0.5367,0.4881,0.5333,0.4879,0.5448,0.4881,0.5333
3,Lgbm,48,base,0.4693,0.4625,0.4762,0.4677,0.4656,0.4621,0.4762,0.4677
3,Lgbm,48,undersampling,0.4809,0.5438,0.4815,0.5407,0.4828,0.5506,0.4815,0.5407
3,KNN,48,base,0.4533,0.4104,0.4905,0.4563,0.4579,0.4208,0.4905,0.4563
3,KNN,48,undersampling,0.3664,0.3657,0.3683,0.3704,0.3878,0.3724,0.3683,0.3704
4,AdaBoost,62,base,0.4994,0.4998,0.5771,0.5932,0.5427,0.6009,0.5771,0.5932
4,AdaBoost,62,undersampling,0.4985,0.4985,0.5074,0.4957,0.5082,0.5062,0.5074,0.4957
4,RandomForest,62,base,0.3921,0.4518,0.4048,0.4639,0.3856,0.4461,0.4048,0.4639
4,RandomForest,62,undersampling,0.4421,0.436,0.4464,0.4359,0.4439,0.4407,0.4464,0.4359
4,SVM,62,base,0.429,0.4589,0.5257,0.5361,0.5148,0.5931,0.5257,0.5361
4,SVM,62,undersampling,0.411,0.4797,0.413,0.4786,0.4143,0.4819,0.413,0.4786
4,GradientBoosting,62,base,0.4969,0.5808,0.5105,0.5856,0.4922,0.5789,0.5105,0.5856
4,GradientBoosting,62,undersampling,0.5505,0.5688,0.5555,0.5726,0.5517,0.567,0.5555,0.5726
4,LogisticRegression,62,base,0.4598,0.4513,0.501,0.4829,0.4641,0.4541,0.501,0.4829
4,LogisticRegression,62,undersampling,0.4146,0.3869,0.415,0.3846,0.418,0.3918,0.415,0.3846
4,XGBoost,62,base,0.4396,0.5166,0.4438,0.5171,0.437,0.5172,0.4438,0.5171
4,XGBoost,62,undersampling,0.5245,0.5694,0.5302,0.5726,0.5248,0.5685,0.5302,0.5726
4,Lgbm,62,base,0.4367,0.5324,0.44,0.5361,0.4365,0.5324,0.44,0.5361
4,Lgbm,62,undersampling,0.5217,0.5599,0.5262,0.5641,0.5224,0.5591,0.5262,0.5641
4,KNN,62,base,0.4195,0.4813,0.4686,0.5209,0.432,0.5121,0.4686,0.5209
4,KNN,62,undersampling,0.405,0.4215,0.409,0.4274,0.4105,0.4306,0.409,0.4274
5,AdaBoost,6,base,0.5226,0.5211,0.5867,0.5741,0.5447,0.6177,0.5867,0.5741
5,AdaBoost,6,undersampling,0.5075,0.5518,0.5227,0.5833,0.5452,0.5852,0.5227,0.5833
5,RandomForest,6,base,0.4307,0.3744,0.4457,0.384,0.4242,0.3689,0.4457,0.384
5,RandomForest,6,undersampling,0.4771,0.4095,0.4794,0.4074,0.4791,0.4138,0.4794,0.4074
5,SVM,6,base,0.4552,0.4229,0.539,0.4981,0.5934,0.5342,0.539,0.4981
5,SVM,6,undersampling,0.4684,0.484,0.4712,0.4815,0.4762,0.4904,0.4712,0.4815
5,GradientBoosting,6,base,0.521,0.5216,0.5324,0.5361,0.5177,0.5242,0.5324,0.5361
5,GradientBoosting,6,undersampling,0.5807,0.5295,0.5845,0.5278,0.5811,0.5329,0.5845,0.5278
5,LogisticRegression,6,base,0.4628,0.4507,0.5076,0.4905,0.469,0.4711,0.5076,0.4905
5,LogisticRegression,6,undersampling,0.4264,0.51,0.4342,0.5093,0.4289,0.5117,0.4342,0.5093
5,XGBoost,6,base,0.4747,0.4407,0.479,0.4449,0.4727,0.4382,0.479,0.4449
5,XGBoost,6,undersampling,0.549,0.5207,0.5515,0.5185,0.5502,0.5264,0.5515,0.5185
5,Lgbm,6,base,0.4745,0.4448,0.4781,0.4487,0.4732,0.4448,0.4781,0.4487
5,Lgbm,6,undersampling,0.5458,0.5032,0.5494,0.5,0.5459,0.5132,0.5494,0.5
5,KNN,6,base,0.4567,0.4382,0.5029,0.4867,0.4716,0.46,0.5029,0.4867
5,KNN,6,undersampling,0.4205,0.4187,0.4219,0.4167,0.4335,0.4343,0.4219,0.4167
6,AdaBoost,17,base,0.5249,0.5275,0.58,0.616,0.517,0.5388,0.58,0.616
6,AdaBoost,17,undersampling,0.5537,0.5169,0.5667,0.5526,0.5743,0.5689,0.5667,0.5526
6,RandomForest,17,base,0.412,0.3726,0.4238,0.3726,0.4068,0.3755,0.4238,0.3726
6,RandomForest,17,undersampling,0.4474,0.4364,0.45,0.4386,0.4502,0.435,0.45,0.4386
6,SVM,17,base,0.4582,0.4631,0.5229,0.5361,0.5339,0.5682,0.5229,0.5361
6,SVM,17,undersampling,0.4713,0.4636,0.4708,0.4649,0.4795,0.4743,0.4708,0.4649
6,GradientBoosting,17,base,0.51,0.5153,0.519,0.5209,0.5081,0.5125,0.519,0.5209
6,GradientBoosting,17,undersampling,0.5661,0.4832,0.5729,0.4912,0.5666,0.4869,0.5729,0.4912
6,LogisticRegression,17,base,0.4563,0.4687,0.4952,0.4981,0.463,0.4721,0.4952,0.4981
6,LogisticRegression,17,undersampling,0.4472,0.4215,0.4521,0.4211,0.4507,0.4228,0.4521,0.4211
6,XGBoost,17,base,0.4611,0.45,0.4648,0.4449,0.461,0.4573,0.4648,0.4449
6,XGBoost,17,undersampling,0.5526,0.4834,0.5583,0.4912,0.5533,0.4826,0.5583,0.4912
6,Lgbm,17,base,0.4637,0.4304,0.4667,0.4221,0.4652,0.444,0.4667,0.4221
6,Lgbm,17,undersampling,0.5629,0.4654,0.5688,0.4737,0.5629,0.4632,0.5688,0.4737
6,KNN,17,base,0.4296,0.4476,0.4667,0.4905,0.4521,0.458,0.4667,0.4905
6,KNN,17,undersampling,0.4141,0.4083,0.4188,0.4123,0.4276,0.4149,0.4188,0.4123
7,AdaBoost,16,base,0.4997,0.6064,0.5762,0.654,0.5581,0.6263,0.5762,0.654
7,AdaBoost,16,undersampling,0.5454,0.5835,0.5554,0.5833,0.5592,0.5841,0.5554,0.5833
7,RandomForest,16,base,0.4164,0.4505,0.4333,0.4563,0.4097,0.4488,0.4333,0.4563
7,RandomForest,16,undersampling,0.4604,0.4427,0.4634,0.4444,0.4629,0.4426,0.4634,0.4444
7,SVM,16,base,0.4407,0.4784,0.5162,0.5703,0.5554,0.5824,0.5162,0.5703
7,SVM,16,undersampling,0.4329,0.5448,0.4348,0.5417,0.4367,0.55,0.4348,0.5417
7,GradientBoosting,16,base,0.527,0.5603,0.5381,0.5741,0.5251,0.5733,0.5381,0.5741
7,GradientBoosting,16,undersampling,0.543,0.5233,0.5497,0.5278,0.5453,0.524,0.5497,0.5278
7,LogisticRegression,16,base,0.4444,0.5021,0.4819,0.5589,0.4514,0.5106,0.4819,0.5589
7,LogisticRegression,16,undersampling,0.4044,0.4662,0.408,0.4722,0.4086,0.4654,0.408,0.4722
7,XGBoost,16,base,0.4739,0.4933,0.479,0.5019,0.4715,0.4953,0.479,0.5019
7,XGBoost,16,undersampling,0.5274,0.4691,0.5324,0.4722,0.5285,0.473,0.5324,0.4722
7,Lgbm,16,base,0.4723,0.5113,0.4781,0.5171,0.4693,0.5245,0.4781,0.5171
7,Lgbm,16,undersampling,0.521,0.485,0.5247,0.4861,0.5251,0.4892,0.5247,0.4861
7,KNN,16,base,0.4435,0.4803,0.4848,0.5247,0.4597,0.4738,0.4848,0.5247
7,KNN,16,undersampling,0.4074,0.3357,0.4119,0.3333,0.4226,0.3588,0.4119,0.3333
8,AdaBoost,43,base,0.5404,0.5938,0.5838,0.6274,0.5491,0.5918,0.5838,0.6274
8,AdaBoost,43,undersampling,0.4818,0.4728,0.5001,0.5093,0.4929,0.5273,0.5001,0.5093
8,RandomForest,43,base,0.4105,0.4606,0.4219,0.4677,0.4078,0.4583,0.4219,0.4677
8,RandomForest,43,undersampling,0.4268,0.4798,0.4281,0.4815,0.4281,0.4799,0.4281,0.4815
8,SVM,43,base,0.4341,0.4983,0.519,0.5589,0.5403,0.5714,0.519,0.5589
8,SVM,43,undersampling,0.4388,0.508,0.4465,0.5093,0.4434,0.5101,0.4465,0.5093
