p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,target,experimental_characteristics
2.0,1.959300398869871,1.8403313105766859,1.6522766843925938,1.409771802240575,1.1319399624636102,0.841128383796248,0.5614216930688745,0.31702533556221446,0.1306196174554923,0.021787341312114995,0.005613982408493399,0.09154930783088619,0.2826038573353852,0.5749337089130514,0.9578436396942406,1.4142135623730951,1.9213274842688832,2.4520597425150763,2.9763513906960717,3.462891670877922,3.8809065876573525,4.20194949532368,4.401587756210942,4.460884994775327,4.367589946714546,4.116959714578792,3.712166399866607,3.164260334676551,2.491689045465324,1.7193971088200413,0.8775566573720873,4320.0,Mammalian
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4320.0,Mammalian
1.0,0.9903694533443936,0.961570560806461,0.9138806714644179,0.8477590650225735,0.76384252869671,0.6629392246050906,0.546020906725474,0.41421356237309503,0.26878656832729086,0.11114046603920442,0.05720652634800475,0.2346331352698204,0.4194306454910752,0.6098193559677434,0.8039657193408789,1.0,1.196034280659121,1.3901806440322566,1.5805693545089246,1.76536686473018,1.9427934736519952,2.1111404660392044,2.2687865683272905,2.414213562373095,2.5460209067254738,2.6629392246050902,2.76384252869671,2.8477590650225735,2.913880671464418,2.9615705608064613,2.990369453344394,4320.0,Mammalian
5.0,4.952779710308196,4.824237233035768,4.8681296811056525,5.525054624855586,6.563301054272464,7.079708615927764,6.324801101464374,4.1815405503520555,1.882596938444662,3.5929347110920293,5.9522614135305965,6.801776848164645,5.825457756375561,3.454034102260716,0.9038526735764622,2.23606797749979,3.471201577130298,3.3383667906146512,2.1826530046946373,1.1801211621116734,1.7667738480247384,2.2145280382558057,1.7977522366329064,0.7174389352143009,0.7614543601869015,1.837966306043684,2.407330466181312,2.4118285890314657,2.0296404181986465,1.5290461772451092,1.1417756114532962,4320.0,Mammalian
5.0,4.952779710308196,4.824237233035768,4.8681296811056525,5.525054624855586,6.563301054272464,7.079708615927764,6.324801101464374,4.1815405503520555,1.882596938444662,3.5929347110920293,5.9522614135305965,6.801776848164645,5.825457756375561,3.454034102260716,0.9038526735764622,2.23606797749979,3.471201577130298,3.3383667906146512,2.1826530046946373,1.1801211621116734,1.7667738480247384,2.2145280382558057,1.7977522366329064,0.7174389352143009,0.7614543601869015,1.837966306043684,2.407330466181312,2.4118285890314657,2.0296404181986465,1.5290461772451092,1.1417756114532962,4320.0,Mammalian
3.0,2.768455678632936,2.110764885214086,1.1623162338602302,0.68996720589363,1.7266773474053985,2.8995230341020095,3.853341174706386,4.452912207168045,4.630286251864032,4.379685498535507,3.7570915303837036,2.8805717132690574,1.953233384590867,1.384416986157056,1.6223423087783178,2.23606797749979,2.7761737770106047,3.124562790981489,3.297042730913134,3.3703354216170465,3.4341606470352053,3.5397582075138767,3.671249509475417,3.7645149588298636,3.7502134720641047,3.5849401235508718,3.261431794151246,2.8048335075898816,2.263217382865157,1.7013541149695457,1.2166606830390536,4320.0,Mammalian
2.0,1.959300398869871,1.8403313105766859,1.6522766843925938,1.409771802240575,1.1319399624636102,0.841128383796248,0.5614216930688745,0.31702533556221446,0.1306196174554923,0.021787341312114995,0.005613982408493399,0.09154930783088619,0.2826038573353852,0.5749337089130514,0.9578436396942406,1.4142135623730951,1.9213274842688832,2.4520597425150763,2.9763513906960717,3.462891670877922,3.8809065876573525,4.20194949532368,4.401587756210942,4.460884994775327,4.367589946714546,4.116959714578792,3.712166399866607,3.164260334676551,2.491689045465324,1.7193971088200413,0.8775566573720873,4320.0,Mammalian
1.0,1.0190335809940412,1.0734248622877274,1.156313441673541,1.259280126749765,1.3743578624073118,1.4948689358167222,1.615493533248506,1.7320508075688772,1.841244319484043,1.9404553240747853,2.0275947489671604,2.1010029896154583,2.159383991930359,2.2017627176929335,2.227458318534033,2.23606797749979,2.227458318534033,2.201762717692934,2.1593839919303583,2.1010029896154587,2.027594748967161,1.940455324074785,1.8412443194840429,1.7320508075688772,1.6154935332485065,1.4948689358167224,1.3743578624073116,1.2592801267497653,1.156313441673541,1.0734248622877274,1.0190335809940412,4320.0,Mammalian
0.0,0.09813534865483603,0.19603428065912118,0.29346094891072344,0.39018064403225655,0.4859603598065278,0.5805693545089247,0.6737797067844402,0.7653668647301797,0.8551101868605643,0.9427934736519953,1.0282054883864435,1.1111404660392044,1.1913986089848667,1.2687865683272912,1.3431179096940367,1.4142135623730951,1.4819022507099184,1.5460209067254738,1.6064150629612897,1.6629392246050905,1.7154572200005442,1.7638425286967099,1.8079785862468867,1.8477590650225735,1.8830881303660416,1.9138806714644176,1.940062506389088,1.9615705608064609,1.9783530199295618,1.9903694533443936,1.9975909124103448,4320.0,Mammalian
3.0,2.990369453344394,2.9615705608064613,2.913880671464418,2.8477590650225735,2.76384252869671,2.6629392246050902,2.5460209067254738,2.414213562373095,2.2687865683272905,2.1111404660392044,1.9427934736519952,1.76536686473018,1.5805693545089246,1.3901806440322566,1.196034280659121,1.0,0.8039657193408789,0.6098193559677434,0.4194306454910752,0.2346331352698204,0.05720652634800475,0.11114046603920442,0.26878656832729086,0.41421356237309503,0.546020906725474,0.6629392246050906,0.76384252869671,0.8477590650225735,0.9138806714644179,0.961570560806461,0.9903694533443936,4320.0,Mammalian
