dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix
Train,KNN,Original,0.5914285714285714,0.5914285714285714,0.574897745783641,0.5601039842802793,0.27294703221507016,0.7441826141033491,"{0: {0: 458, 1: 212, 2: 64}, 1: {0: 69, 1: 126, 2: 56}, 2: {0: 14, 1: 14, 2: 37}}"
Validation,KNN,Original,0.5399239543726235,0.5399239543726235,0.5095155538919206,0.500462918364807,0.16815101959253514,0.5966300373208563,"{0: {0: 112, 1: 58, 2: 23}, 1: {0: 22, 1: 20, 2: 8}, 2: {0: 3, 1: 7, 2: 10}}"
Train,KNN,Under,0.6252631578947369,0.6252631578947369,0.6296777905372289,0.6214266917293234,0.44293903937955253,0.8125732409815962,"{0: {0: 110, 1: 57, 2: 28}, 1: {0: 27, 1: 74, 2: 20}, 2: {0: 18, 1: 28, 2: 113}}"
Validation,KNN,Under,0.3697478991596639,0.3697478991596639,0.36721726333741356,0.36741117499631426,0.05169520443965175,0.5899000550155877,"{0: {0: 18, 1: 15, 2: 14}, 1: {0: 14, 1: 11, 2: 8}, 2: {0: 11, 1: 13, 2: 15}}"
Train,KNN,Over,0.8186846957590658,0.8186846957590658,0.857163337300526,0.8194024943930036,0.7469537322752111,0.9627316831052096,"{0: {0: 530, 1: 193, 2: 63}, 1: {0: 15, 1: 339, 2: 24}, 2: {0: 0, 1: 0, 2: 463}}"
Validation,KNN,Over,0.5700245700245701,0.5700245700245701,0.5636599919208616,0.5537967683882878,0.36710042924855457,0.6757476196694955,"{0: {0: 77, 1: 66, 2: 13}, 1: {0: 32, 1: 49, 2: 9}, 2: {0: 24, 1: 31, 2: 106}}"
