accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time,Dataset,model,sampling
0.3484848484848485,0.3484848484848485,0.34517443340972753,0.3465525746913143,0.4889412169826608,-0.09752114586795968,3.224832534790039,0.008161067962646484,Validation,LGBM,Original
0.3484848484848485,0.3484848484848485,0.3130313445440366,0.326961926961927,0.4452557650126166,-0.12598261122012383,2.6730525493621826,0.008355140686035156,Validation,LGBM,Original
0.3712121212121212,0.3712121212121212,0.3594764134448908,0.36317848817848813,0.4599317606691437,-0.06214906536075227,2.6929073333740234,0.008437156677246094,Validation,LGBM,Original
0.40458015267175573,0.40458015267175573,0.3908190633381473,0.3965789911387159,0.5194005554613274,-0.0096261693298593,3.48128080368042,0.010438919067382812,Validation,LGBM,Original
0.366412213740458,0.366412213740458,0.3352508178844057,0.3481811422288763,0.4560116728500416,-0.1021728180689716,2.831348419189453,0.008118391036987305,Validation,LGBM,Original
0.3511450381679389,0.3511450381679389,0.32545198223041494,0.33547531317173096,0.4792245556246135,-0.12726061796696916,2.842583656311035,0.008611440658569336,Validation,LGBM,Original
0.3969465648854962,0.3969465648854962,0.3597222222222222,0.37511554240016615,0.5241464401196452,-0.04420501180447928,2.900543451309204,0.008291482925415039,Validation,LGBM,Original
0.44274809160305345,0.44274809160305345,0.4072812896716504,0.42121581022139454,0.5123425153349914,0.031679239368095594,3.0639255046844482,0.008174657821655273,Validation,LGBM,Original
0.3816793893129771,0.3816793893129771,0.37919308726512596,0.3804006954951402,0.48835090020110544,-0.03623442215351236,2.736058235168457,0.008417367935180664,Validation,LGBM,Original
0.4198473282442748,0.4198473282442748,0.39840426079879676,0.40686537859670424,0.5302767492917971,-0.0033542838232611537,2.81079363822937,0.009384870529174805,Validation,LGBM,Original
0.7180355630821338,0.7180355630821338,0.7172283110153244,0.711690254625055,0.9055320991388145,0.5307558076041096,3.224832534790039,0.008161067962646484,Train,LGBM,Original
0.7163420829805249,0.7163420829805249,0.7116335311436262,0.7097136333234986,0.9017710521079039,0.5248745558657208,2.6730525493621826,0.008355140686035156,Train,LGBM,Original
0.7197290431837426,0.7197290431837426,0.7163476079101645,0.7114882159253801,0.9058790131924512,0.5304937930653324,2.6929073333740234,0.008437156677246094,Train,LGBM,Original
0.7123519458544839,0.7123519458544839,0.7074290364372693,0.7068252143219073,0.9013045646034152,0.5188394051717667,3.48128080368042,0.010438919067382812,Train,LGBM,Original
0.7225042301184433,0.7225042301184433,0.7182582511515908,0.7167745960485848,0.9083261579442468,0.5332693501283461,2.831348419189453,0.008118391036987305,Train,LGBM,Original
0.7182741116751269,0.7182741116751269,0.7142575260419421,0.7127913326544831,0.9040581434321132,0.5267399823385047,2.842583656311035,0.008611440658569336,Train,LGBM,Original
0.7182741116751269,0.7182741116751269,0.7150700580361752,0.7122157427522243,0.9043235094152178,0.5277379650570945,2.900543451309204,0.008291482925415039,Train,LGBM,Original
0.7157360406091371,0.7157360406091371,0.7139068696674177,0.7088383847370434,0.9033901959576234,0.525038151022808,3.0639255046844482,0.008174657821655273,Train,LGBM,Original
0.7233502538071066,0.7233502538071066,0.7187443063953834,0.7179003848037727,0.9079773975849644,0.5324408879767325,2.736058235168457,0.008417367935180664,Train,LGBM,Original
0.7157360406091371,0.7157360406091371,0.7108668041575447,0.7097605757580855,0.9043569658271499,0.5241848863520615,2.81079363822937,0.009384870529174805,Train,LGBM,Original
