dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time,metrics_time
Train,AdaBoost,Original,0.5152380952380953,0.5152380952380953,0.2654702947845805,0.35040076621471966,0.0,0.6037929001454322,"{0: {0: 541, 1: 352, 2: 157}, 1: {0: 0, 1: 0, 2: 0}, 2: {0: 0, 1: 0, 2: 0}}",8.543296813964844,0.010031461715698242
Validation,AdaBoost,Original,0.5209125475285171,0.5209125475285171,0.2713498821726496,0.35682509505703425,0.0,0.6017520856244316,"{0: {0: 137, 1: 85, 2: 41}, 1: {0: 0, 1: 0, 2: 0}, 2: {0: 0, 1: 0, 2: 0}}",8.543296813964844,0.010031461715698242
