accuracy,recall,precision,f1,set,model,sampling,dataset,acc,mcc,roc_auc,conf_matrix
0.5065232477446218,0.5065232477446218,0.497890492224953,0.4417879582411219,CrossVal,SVM,Original,,,,,
,0.6123809523809524,0.665059635790254,0.5620402770735567,,SVM,Original,Train,0.6123809523809524,0.30988321989520623,0.7614877455380786,"{0: {0: 499, 1: 232, 2: 107}, 1: {0: 42, 1: 119, 2: 25}, 2: {0: 0, 1: 1, 2: 25}}"
,0.6349809885931559,0.7116321545456091,0.5783568051838672,,SVM,Original,Validation,0.6349809885931559,0.3634796144411189,0.8087423366826965,"{0: {0: 132, 1: 56, 2: 30}, 1: {0: 5, 1: 29, 2: 5}, 2: {0: 0, 1: 0, 2: 6}}"
0.4427683615819209,0.4427683615819209,0.42862394348994953,0.4224954540633529,CrossVal,SVM,Under,,,,,
,0.6884210526315789,0.7019113914182157,0.6760787723401154,,SVM,Under,Train,0.6884210526315789,0.5473682027833452,0.7986267981642811,"{0: {0: 97, 1: 39, 2: 6}, 1: {0: 21, 1: 78, 2: 3}, 2: {0: 37, 1: 42, 2: 152}}"
,0.6386554621848739,0.6877769289533995,0.6147249514807701,,SVM,Under,Validation,0.6386554621848739,0.4886281095275886,0.7583726173396188,"{0: {0: 31, 1: 11, 2: 2}, 1: {0: 1, 1: 12, 2: 2}, 2: {0: 11, 1: 16, 2: 33}}"
0.6062300782381919,0.6062300782381919,0.5936747761866729,0.587704912920245,CrossVal,SVM,Over,,,,,
,0.7135832821143209,0.7149273263907753,0.7016077441790727,,SVM,Over,Train,0.7135832821143209,0.5800536192875452,0.8731040808066983,"{0: {0: 368, 1: 138, 2: 10}, 1: {0: 88, 1: 268, 2: 15}, 2: {0: 89, 1: 126, 2: 525}}"
,0.6855036855036855,0.6836532708538697,0.6709553220208324,,SVM,Over,Validation,0.6855036855036855,0.5412323740032604,0.8544237930620204,"{0: {0: 93, 1: 46, 2: 5}, 1: {0: 27, 1: 66, 2: 3}, 2: {0: 13, 1: 34, 2: 120}}"
