dataset,model,sampling,MAE,MSE,RMSE,R2
Train,Random_Forest_Regressor,Original,990.5545577955179,1261790.9426996282,1123.2946820401262,0.45061433251856853
Validation,Random_Forest_Regressor,Original,1730.0276726875654,3441904.3129069936,1855.2369964257919,-0.512791980004832
