dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix
Train,LGBM,Original,0.5923809523809523,0.5923809523809523,0.6774260124743336,0.5152521210210277,0.2781042907524558,0.8252485421574729,"{0: {0: 521, 1: 261, 2: 134}, 1: {0: 20, 1: 90, 2: 12}, 2: {0: 0, 1: 1, 2: 11}}"
Validation,LGBM,Original,0.5247148288973384,0.5247148288973384,0.5757580366401659,0.4008268979475541,0.06232411883252082,0.56766351396163,"{0: {0: 131, 1: 80, 2: 39}, 1: {0: 6, 1: 5, 2: 0}, 2: {0: 0, 1: 0, 2: 2}}"
Train,LGBM,Under,0.8421052631578947,0.8421052631578947,0.8430151938646934,0.8409290299745221,0.7645635990113022,0.9751701949231298,"{0: {0: 125, 1: 16, 2: 6}, 1: {0: 17, 1: 125, 2: 5}, 2: {0: 13, 1: 18, 2: 150}}"
Validation,LGBM,Under,0.36134453781512604,0.36134453781512604,0.3494758951279659,0.3514546721561402,0.04394640237494022,0.5432000463856917,"{0: {0: 19, 1: 16, 2: 6}, 1: {0: 10, 1: 6, 2: 13}, 2: {0: 14, 1: 17, 2: 18}}"
Train,LGBM,Over,0.7664413030116779,0.7664413030116779,0.7647408675386027,0.7600986295585035,0.6538821049672857,0.9205520100220008,"{0: {0: 402, 1: 125, 2: 11}, 1: {0: 84, 1: 323, 2: 17}, 2: {0: 59, 1: 84, 2: 522}}"
Validation,LGBM,Over,0.5823095823095823,0.5823095823095823,0.5682940095164241,0.5660486144143256,0.3828364261832265,0.750426469968865,"{0: {0: 73, 1: 58, 2: 7}, 1: {0: 39, 1: 53, 2: 10}, 2: {0: 21, 1: 35, 2: 111}}"
