dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time,metrics_time
Train,KNN,Original,0.6371428571428571,0.6371428571428571,0.6597319495467253,0.6070716111198039,0.36443771844459255,0.7993900017202075,"{0: {0: 484, 1: 205, 2: 98}, 1: {0: 50, 1: 138, 2: 12}, 2: {0: 7, 1: 9, 2: 47}}",0.17012596130371094,0.010322809219360352
Validation,KNN,Original,0.4372623574144487,0.4372623574144487,0.40008643918090464,0.40873592466137276,-0.009550319569189072,0.5047436465388361,"{0: {0: 92, 1: 60, 2: 26}, 1: {0: 38, 1: 16, 2: 8}, 2: {0: 7, 1: 9, 2: 7}}",0.17012596130371094,0.010322809219360352
