dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix
Train,LogisticRegression,Original,0.66,0.66,0.6550111257789203,0.6466349591304175,0.4108158791569714,0.8214880864138417,"{0: {0: 457, 1: 170, 2: 43}, 1: {0: 74, 1: 163, 2: 41}, 2: {0: 10, 1: 19, 2: 73}}"
Validation,LogisticRegression,Original,0.7110266159695817,0.7110266159695817,0.7119094709513881,0.7013068253416443,0.5041289433373589,0.8555363461160873,"{0: {0: 119, 1: 35, 2: 14}, 1: {0: 13, 1: 46, 2: 5}, 2: {0: 5, 1: 4, 2: 22}}"
Train,LogisticRegression,Under,0.7726315789473684,0.7726315789473684,0.7755208333333333,0.7690608543053203,0.6630180592247382,0.9305538425550692,"{0: {0: 118, 1: 29, 2: 8}, 1: {0: 18, 1: 103, 2: 7}, 2: {0: 19, 1: 27, 2: 146}}"
Validation,LogisticRegression,Under,0.773109243697479,0.773109243697479,0.7795855184178935,0.7742714526035449,0.6618225180399426,0.9329763163288424,"{0: {0: 33, 1: 3, 2: 2}, 1: {0: 5, 1: 29, 2: 5}, 2: {0: 5, 1: 7, 2: 30}}"
Train,LogisticRegression,Over,0.7387830362630609,0.7387830362630609,0.7353650565758524,0.7307960519067249,0.6132766056073641,0.8932945603944877,"{0: {0: 354, 1: 118, 2: 6}, 1: {0: 118, 1: 320, 2: 16}, 2: {0: 73, 1: 94, 2: 528}}"
Validation,LogisticRegression,Over,0.7321867321867321,0.7321867321867321,0.7312560090712638,0.7231937391992287,0.6069556955651696,0.8983312963323193,"{0: {0: 97, 1: 39, 2: 0}, 1: {0: 22, 1: 80, 2: 7}, 2: {0: 14, 1: 27, 2: 121}}"
