dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix
Train,LogisticRegression,Original,0.6009523809523809,0.6009523809523809,0.6047960927960928,0.5559557634420705,0.282056731318989,0.7621128340903637,"{0: {0: 478, 1: 214, 2: 88}, 1: {0: 60, 1: 132, 2: 48}, 2: {0: 3, 1: 6, 2: 21}}"
Validation,LogisticRegression,Original,0.5361216730038023,0.5361216730038023,0.5465968451079144,0.47051692741351225,0.12815692967940295,0.64195519176935,"{0: {0: 119, 1: 66, 2: 29}, 1: {0: 18, 1: 18, 2: 8}, 2: {0: 0, 1: 1, 2: 4}}"
Train,LogisticRegression,Under,0.6736842105263158,0.6736842105263158,0.6752172619047618,0.6676860317355664,0.515351373679359,0.8430408093118388,"{0: {0: 89, 1: 30, 2: 9}, 1: {0: 33, 1: 93, 2: 14}, 2: {0: 33, 1: 36, 2: 138}}"
Validation,LogisticRegression,Under,0.40336134453781514,0.40336134453781514,0.40679361008080733,0.3976416972498517,0.1119530149478963,0.6482110495032416,"{0: {0: 16, 1: 12, 2: 5}, 1: {0: 12, 1: 11, 2: 11}, 2: {0: 15, 1: 16, 2: 21}}"
Train,LogisticRegression,Over,0.7314074984634297,0.7314074984634297,0.7294716641097134,0.7226173818630995,0.6031807372776484,0.8898796876116493,"{0: {0: 370, 1: 134, 2: 9}, 1: {0: 95, 1: 298, 2: 19}, 2: {0: 80, 1: 100, 2: 522}}"
Validation,LogisticRegression,Over,0.6044226044226044,0.6044226044226044,0.5929570231040819,0.5938030536599177,0.4117532235530892,0.7635813136166326,"{0: {0: 72, 1: 50, 2: 6}, 1: {0: 43, 1: 64, 2: 12}, 2: {0: 18, 1: 32, 2: 110}}"
