dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time,metrics_time
Train,LGBM,Original,0.6847619047619048,0.6847619047619048,0.7059781653802989,0.6626070739776324,0.45403431513581727,0.8684397138955838,"{0: {0: 493, 1: 175, 2: 78}, 1: {0: 42, 1: 172, 2: 25}, 2: {0: 6, 1: 5, 2: 54}}",4374.391885519028,0.011984586715698242
Validation,LGBM,Original,0.467680608365019,0.467680608365019,0.418209160790592,0.42459316213823817,0.024577981456428463,0.5248108944225491,"{0: {0: 103, 1: 63, 2: 24}, 1: {0: 31, 1: 14, 2: 11}, 2: {0: 3, 1: 8, 2: 6}}",4374.391885519028,0.011984586715698242
Train,LGBM,Under,0.8421052631578947,0.8421052631578947,0.8443518153302791,0.8406640971249579,0.7653286372605235,0.9751701949231298,"{0: {0: 120, 1: 13, 2: 4}, 1: {0: 20, 1: 128, 2: 5}, 2: {0: 15, 1: 18, 2: 152}}",1951.1776440143585,0.012985706329345703
Validation,LGBM,Under,0.35294117647058826,0.35294117647058826,0.35431315383296175,0.34925907702925485,0.03363288817727676,0.5436551385637696,"{0: {0: 16, 1: 13, 2: 6}, 1: {0: 14, 1: 8, 2: 13}, 2: {0: 13, 1: 18, 2: 18}}",1951.1776440143585,0.012985706329345703
Train,LGBM,Over,0.7664413030116779,0.7664413030116779,0.7647408675386027,0.7600986295585035,0.6538821049672857,0.9205520100220008,"{0: {0: 402, 1: 125, 2: 11}, 1: {0: 84, 1: 323, 2: 17}, 2: {0: 59, 1: 84, 2: 522}}",5876.4623148441315,0.29208970069885254
Validation,LGBM,Over,0.5823095823095823,0.5823095823095823,0.5682940095164241,0.5660486144143256,0.3828364261832265,0.750426469968865,"{0: {0: 73, 1: 58, 2: 7}, 1: {0: 39, 1: 53, 2: 10}, 2: {0: 21, 1: 35, 2: 111}}",5876.4623148441315,0.29208970069885254
