dataset,model,sampling,acc,recall,precision,f1,mcc,conf_matrix
Train,Random_Forest,Original,1.0,1.0,1.0,1.0,1.0,"{0: {0: 541, 1: 0, 2: 0}, 1: {0: 0, 1: 352, 2: 0}, 2: {0: 0, 1: 0, 2: 157}}"
Validation,Random_Forest,Original,0.5437262357414449,0.5437262357414449,0.5208687238427375,0.5258621049302832,0.2049341671079254,"{0: {0: 107, 1: 47, 2: 3}, 1: {0: 27, 1: 28, 2: 30}, 2: {0: 3, 1: 10, 2: 8}}"
Train,Random_Forest,Under,1.0,1.0,1.0,1.0,1.0,"{0: {0: 155, 1: 0, 2: 0}, 1: {0: 0, 1: 159, 2: 0}, 2: {0: 0, 1: 0, 2: 161}}"
Validation,Random_Forest,Under,0.6302521008403361,0.6302521008403361,0.6344929580223698,0.6299808450932316,0.4477961938681962,"{0: {0: 29, 1: 9, 2: 1}, 1: {0: 6, 1: 20, 2: 10}, 2: {0: 8, 1: 10, 2: 26}}"
Train,Random_Forest,Over,1.0,1.0,1.0,1.0,1.0,"{0: {0: 545, 1: 0, 2: 0}, 1: {0: 0, 1: 532, 2: 0}, 2: {0: 0, 1: 0, 2: 550}}"
Validation,Random_Forest,Over,0.7199017199017199,0.7199017199017199,0.7175263234296863,0.7178028679934365,0.5807771153323177,"{0: {0: 95, 1: 46, 2: 1}, 1: {0: 29, 1: 87, 2: 16}, 2: {0: 9, 1: 13, 2: 111}}"
