accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time,Dataset,model,sampling
0.36363636363636365,0.36363636363636365,0.3447066822066822,0.3505316029960061,0.48092100218186457,-0.10928007684294207,6.004146337509155,0.16113519668579102,Validation,XGBoost,Original
0.3333333333333333,0.3333333333333333,0.29197746697746696,0.30687540928504786,0.4517503023936848,-0.19464832357860185,6.079919338226318,0.1603095531463623,Validation,XGBoost,Original
0.3560606060606061,0.3560606060606061,0.330551217418306,0.34037712801695935,0.4525356849868047,-0.09876931131033173,5.958952903747559,0.1626901626586914,Validation,XGBoost,Original
0.4351145038167939,0.4351145038167939,0.4148362472297464,0.4201023101786461,0.525499885603841,0.0288451319803319,5.88434100151062,0.16439485549926758,Validation,XGBoost,Original
0.3435114503816794,0.3435114503816794,0.3206575478216267,0.32976864346388507,0.4516437833268195,-0.1451551582003964,5.832885265350342,0.16341400146484375,Validation,XGBoost,Original
0.33587786259541985,0.33587786259541985,0.32981524504923115,0.33122987704095763,0.48967684721110477,-0.1293591058285818,5.776368141174316,0.16305756568908691,Validation,XGBoost,Original
0.3816793893129771,0.3816793893129771,0.3470525284125378,0.3617707895282077,0.5252689996264688,-0.0709634246579563,5.82309627532959,0.16343140602111816,Validation,XGBoost,Original
0.3969465648854962,0.3969465648854962,0.32604672681008556,0.3559863333754531,0.5122041985756076,-0.09437183437632282,5.839544773101807,0.15804457664489746,Validation,XGBoost,Original
0.37404580152671757,0.37404580152671757,0.3671447297401496,0.3696361197808947,0.4883602896427794,-0.06657226988022703,5.680809736251831,0.15778160095214844,Validation,XGBoost,Original
0.3969465648854962,0.3969465648854962,0.36469138909999177,0.3751860651916261,0.5149108815319486,-0.07028317667216269,5.617155075073242,0.15848565101623535,Validation,XGBoost,Original
0.7180355630821338,0.7180355630821338,0.7145381681559412,0.7082615656743286,0.9055320991388145,0.5196383060101547,6.004146337509155,0.16113519668579102,Train,XGBoost,Original
0.7163420829805249,0.7163420829805249,0.7136638403662193,0.7061641268332194,0.9017710521079039,0.5171506266586132,6.079919338226318,0.1603095531463623,Train,XGBoost,Original
0.7197290431837426,0.7197290431837426,0.7179313724483646,0.7091764105870774,0.9058790131924511,0.5261650284740134,5.958952903747559,0.1626901626586914,Train,XGBoost,Original
0.7123519458544839,0.7123519458544839,0.7077549453902883,0.7034000149586492,0.9013045646034152,0.5122052819433098,5.88434100151062,0.16439485549926758,Train,XGBoost,Original
0.7225042301184433,0.7225042301184433,0.7185383508668214,0.7163864910008807,0.9083261579442468,0.5291957975366643,5.832885265350342,0.16341400146484375,Train,XGBoost,Original
0.7182741116751269,0.7182741116751269,0.7152790260559909,0.7117737485214234,0.9040581434321132,0.5173831071210477,5.776368141174316,0.16305756568908691,Train,XGBoost,Original
0.7182741116751269,0.7182741116751269,0.7140184932364075,0.7135433266524075,0.9043235094152178,0.5208434536236419,5.82309627532959,0.16343140602111816,Train,XGBoost,Original
0.7157360406091371,0.7157360406091371,0.7137170016255684,0.7068709874093861,0.9033901959576234,0.5141133477388365,5.839544773101807,0.15804457664489746,Train,XGBoost,Original
0.7233502538071066,0.7233502538071066,0.7195341682382678,0.7160602779460995,0.9079773975849644,0.5324014525776293,5.680809736251831,0.15778160095214844,Train,XGBoost,Original
0.7157360406091371,0.7157360406091371,0.713812884302026,0.7075259001311884,0.9043569658271499,0.5132797180909068,5.617155075073242,0.15848565101623535,Train,XGBoost,Original
