iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
3,RandomForest,54,undersampling,0.3948,0.375,0.3995,0.383,0.3964,0.3717,0.3995,0.383
3,SVM,54,base,0.3569,0.3312,0.521,0.4981,0.2714,0.2481,0.521,0.4981
3,SVM,54,undersampling,0.4478,0.4363,0.4525,0.4397,0.4528,0.4424,0.4525,0.4397
3,GradientBoosting,54,base,0.3909,0.37,0.4114,0.3878,0.3796,0.3643,0.4114,0.3878
3,GradientBoosting,54,undersampling,0.3992,0.3713,0.3994,0.3759,0.405,0.368,0.3994,0.3759
3,LogisticRegression,54,base,0.4615,0.4211,0.5057,0.4715,0.459,0.4035,0.5057,0.4715
3,LogisticRegression,54,undersampling,0.4582,0.4349,0.4592,0.4397,0.4615,0.4357,0.4592,0.4397
3,XGBoost,54,base,0.3877,0.3318,0.4,0.3422,0.3793,0.3252,0.4,0.3422
3,XGBoost,54,undersampling,0.3963,0.3556,0.3973,0.3617,0.3978,0.3528,0.3973,0.3617
3,Lgbm,54,base,0.3721,0.3444,0.3848,0.3498,0.3634,0.3401,0.3848,0.3498
3,Lgbm,54,undersampling,0.4057,0.3732,0.4059,0.3759,0.408,0.3714,0.4059,0.3759
3,KNN,54,base,0.4483,0.4203,0.4771,0.4449,0.4543,0.4261,0.4771,0.4449
3,KNN,54,undersampling,0.4327,0.4383,0.4326,0.4397,0.4409,0.4423,0.4326,0.4397
4,AdaBoost,25,base,0.4455,0.4245,0.4981,0.4943,0.4538,0.423,0.4981,0.4943
4,AdaBoost,25,undersampling,0.4114,0.3575,0.4131,0.359,0.4133,0.357,0.4131,0.359
4,RandomForest,25,base,0.3676,0.3376,0.3819,0.3612,0.3595,0.3238,0.3819,0.3612
4,RandomForest,25,undersampling,0.4099,0.3387,0.4088,0.3333,0.4118,0.35,0.4088,0.3333
4,SVM,25,base,0.3547,0.3397,0.519,0.5057,0.2694,0.2557,0.519,0.5057
4,SVM,25,undersampling,0.4178,0.3588,0.4256,0.3675,0.4352,0.3703,0.4256,0.3675
4,GradientBoosting,25,base,0.3842,0.3859,0.4,0.4221,0.3756,0.3749,0.4,0.4221
4,GradientBoosting,25,undersampling,0.367,0.3505,0.369,0.3504,0.3673,0.3506,0.369,0.3504
4,LogisticRegression,25,base,0.4709,0.4583,0.5152,0.5209,0.4726,0.4717,0.5152,0.5209
4,LogisticRegression,25,undersampling,0.4281,0.3714,0.432,0.3761,0.4284,0.3721,0.432,0.3761
4,XGBoost,25,base,0.3664,0.3642,0.379,0.384,0.358,0.3533,0.379,0.384
4,XGBoost,25,undersampling,0.3797,0.3796,0.3815,0.3761,0.382,0.386,0.3815,0.3761
4,Lgbm,25,base,0.3696,0.3731,0.381,0.3916,0.3619,0.3626,0.381,0.3916
4,Lgbm,25,undersampling,0.3873,0.3378,0.3879,0.3333,0.3878,0.3458,0.3879,0.3333
4,KNN,25,base,0.4516,0.444,0.4829,0.5019,0.453,0.4852,0.4829,0.5019
4,KNN,25,undersampling,0.4426,0.4202,0.4467,0.4274,0.4489,0.4252,0.4467,0.4274
5,AdaBoost,43,base,0.4464,0.4713,0.4895,0.5057,0.4462,0.4703,0.4895,0.5057
5,AdaBoost,43,undersampling,0.364,0.416,0.3704,0.4167,0.366,0.4163,0.3704,0.4167
5,RandomForest,43,base,0.3663,0.3938,0.3867,0.403,0.3556,0.3879,0.3867,0.403
5,RandomForest,43,undersampling,0.3635,0.4378,0.3643,0.4352,0.3645,0.4419,0.3643,0.4352
5,SVM,43,base,0.3461,0.3742,0.5114,0.5361,0.2616,0.2874,0.5114,0.5361
5,SVM,43,undersampling,0.4365,0.3505,0.4403,0.3519,0.447,0.3538,0.4403,0.3519
5,GradientBoosting,43,base,0.3782,0.4292,0.4,0.4525,0.3678,0.4201,0.4,0.4525
5,GradientBoosting,43,undersampling,0.3325,0.445,0.3333,0.4444,0.3332,0.4552,0.3333,0.4444
5,LogisticRegression,43,base,0.4628,0.4454,0.5038,0.4867,0.4574,0.4408,0.5038,0.4867
5,LogisticRegression,43,undersampling,0.4367,0.4529,0.4423,0.4537,0.446,0.4526,0.4423,0.4537
5,XGBoost,43,base,0.3651,0.3979,0.38,0.4068,0.3571,0.391,0.38,0.4068
5,XGBoost,43,undersampling,0.3482,0.4289,0.3498,0.4259,0.3495,0.4366,0.3498,0.4259
5,Lgbm,43,base,0.3645,0.4003,0.381,0.4106,0.3542,0.3932,0.381,0.4106
5,Lgbm,43,undersampling,0.3517,0.4458,0.3519,0.4444,0.3552,0.451,0.3519,0.4444
5,KNN,43,base,0.4432,0.4664,0.4771,0.4981,0.4465,0.477,0.4771,0.4981
5,KNN,43,undersampling,0.4225,0.4449,0.4239,0.4444,0.4299,0.4568,0.4239,0.4444
6,AdaBoost,93,base,0.4359,0.4553,0.4848,0.5019,0.447,0.4619,0.4848,0.5019
6,AdaBoost,93,undersampling,0.3919,0.3334,0.3991,0.3333,0.3984,0.3347,0.3991,0.3333
6,RandomForest,93,base,0.3659,0.3721,0.3867,0.384,0.3548,0.3648,0.3867,0.384
6,RandomForest,93,undersampling,0.4039,0.3636,0.4077,0.3659,0.406,0.3627,0.4077,0.3659
6,SVM,93,base,0.3474,0.3698,0.5057,0.5323,0.278,0.2834,0.5057,0.5323
6,SVM,93,undersampling,0.3878,0.291,0.4034,0.2927,0.394,0.2955,0.4034,0.2927
6,GradientBoosting,93,base,0.3775,0.3865,0.4038,0.403,0.3666,0.3756,0.4038,0.403
6,GradientBoosting,93,undersampling,0.3914,0.3798,0.3908,0.3821,0.3951,0.3817,0.3908,0.3821
6,LogisticRegression,93,base,0.4665,0.4288,0.5086,0.4715,0.47,0.418,0.5086,0.4715
6,LogisticRegression,93,undersampling,0.4486,0.3153,0.4522,0.3171,0.4546,0.3157,0.4522,0.3171
6,XGBoost,93,base,0.3862,0.3551,0.4038,0.365,0.3762,0.3486,0.4038,0.365
6,XGBoost,93,undersampling,0.403,0.3529,0.4055,0.3577,0.4054,0.3536,0.4055,0.3577
6,Lgbm,93,base,0.386,0.3519,0.401,0.3612,0.376,0.3449,0.401,0.3612
6,Lgbm,93,undersampling,0.3967,0.3633,0.3991,0.3659,0.3988,0.3653,0.3991,0.3659
6,KNN,93,base,0.4683,0.4057,0.4971,0.4221,0.4704,0.4005,0.4971,0.4221
6,KNN,93,undersampling,0.4362,0.3799,0.4437,0.3821,0.4442,0.3941,0.4437,0.3821
7,AdaBoost,92,base,0.4584,0.4507,0.519,0.5171,0.4754,0.5014,0.519,0.5171
7,AdaBoost,92,undersampling,0.3878,0.4004,0.3877,0.4,0.393,0.4015,0.3877,0.4
7,RandomForest,92,base,0.3745,0.3591,0.3971,0.3916,0.3627,0.3425,0.3971,0.3916
7,RandomForest,92,undersampling,0.3763,0.4103,0.3791,0.4148,0.3798,0.4086,0.3791,0.4148
7,SVM,92,base,0.3547,0.3354,0.5171,0.5019,0.2699,0.2519,0.5171,0.5019
7,SVM,92,undersampling,0.4259,0.3741,0.4292,0.3778,0.4393,0.3814,0.4292,0.3778
7,GradientBoosting,92,base,0.3931,0.3718,0.42,0.4144,0.3815,0.3587,0.42,0.4144
7,GradientBoosting,92,undersampling,0.3537,0.3962,0.3551,0.4,0.3557,0.3954,0.3551,0.4
7,LogisticRegression,92,base,0.4504,0.4409,0.5076,0.5019,0.4549,0.4544,0.5076,0.5019
7,LogisticRegression,92,undersampling,0.4255,0.4331,0.427,0.4444,0.4289,0.4296,0.427,0.4444
7,XGBoost,92,base,0.3827,0.3528,0.399,0.384,0.374,0.3371,0.399,0.384
