dataset,model,sampling,MAE,MSE,RMSE,R2
Train,Random_Forest_Regressor,Original,917.1763749688357,1172342.1089365736,1082.7474816117438,0.48956048879483016
Validation,Random_Forest_Regressor,Original,1776.0165476190475,3740699.5599618233,1934.0888190467942,-0.6441190049058645
