dataset,model,sampling,acc,recall,precision,f1,mcc,roc_auc,conf_matrix,fit_time,metrics_time
Train,LogisticRegression,Original,0.52,0.52,0.4589476606969318,0.37206345520056006,0.054533501732082344,0.6942523708269396,"{0: {0: 534, 1: 340, 2: 155}, 1: {0: 7, 1: 12, 2: 2}, 2: {0: 0, 1: 0, 2: 0}}",0.49910449981689453,0.01405787467956543
Validation,LogisticRegression,Original,0.5285171102661597,0.5285171102661597,0.5159248058487602,0.37958687140555813,0.07916050080305413,0.6560649016965503,"{0: {0: 136, 1: 82, 2: 41}, 1: {0: 1, 1: 3, 2: 0}, 2: {0: 0, 1: 0, 2: 0}}",0.49910449981689453,0.01405787467956543
